URU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
41057;Minister of Armament;埃内斯托 桑切斯 埃利桑多 ;44;SL;Air Superiority Proponent;Medium;M41057;x
41058;Minister of Armament;朱利奥 切萨尔 格劳尔 ;47;SL;Resource Industrialist;Medium;M41058;x
41059;Minister of Armament;卡洛斯 内维斯 奥乔亚 ;37;LWR;Submarine Proponent;Medium;M41059;x
41060;Minister of Security;保罗 奥尔特加 弗鲁西 ;37;PA;Back Stabber;Medium;M41060;x
41061;Minister of Security;奥拉西奥 阿雷东多 ;38;SC;Man of the People;Medium;M41061;x
41062;Minister of Security;A 德雷斯 古斯塔沃 ;38;SD;Prince of Terror;Medium;M41032;x
41063;Minister of Security;马里奥 卡西诺尼 ;43;ML;Silent Lawyer;Medium;M41063;x
41064;Minister of Security;胡安 卡洛斯 布兰科 ;43;SD;Compassionate Gentleman;Medium;M41064;x
41065;Minister of Security;阿尔贝托 多明格斯 坎波拉 ;44;SL;Prince of Terror;Medium;M41065;x
41066;Minister of Security;安德烈斯 帕凯科 ;47;SL;Efficient Sociopath;Medium;M41066;x
41067;Minister of Security;乔斯 佩德罗 瓦雷拉 ;47;SD;Crime Fighter;Medium;M41067;x
41068;Head of Military Intelligence;安东尼奥 德 拉拉 里瓦斯 ;36;PA;Industrial Specialist;Medium;M41068;x
41069;Head of Military Intelligence;朱利奥 T 费尔南德斯 ;37;SC;Technical Specialist;Medium;M41069;x
41070;Head of Military Intelligence;恩里克 莫蒂希 ;38;SC;Industrial Specialist;Medium;M41070;x
41071;Head of Military Intelligence;恩里克 伊索瓦 阿尔瓦雷兹 ;38;SD;Technical Specialist;Medium;M41026;x
41072;Head of Military Intelligence;朱利奥 埃斯卡洛纳 瓦斯克斯 ;43;ML;Dismal Enigma;Medium;M41072;x
41073;Head of Military Intelligence;伊波利托 加利纳尔 ;43;SD;Logistics Specialist;Medium;M41073;x
41074;Head of Military Intelligence;安德烈斯 特鲁埃瓦 马丁内斯 ;47;SL;Technical Specialist;Medium;M41074;x
41075;Head of Military Intelligence;詹姆斯 麦克法兰 鲁比奥 ;47;LWR;Industrial Specialist;Medium;M41075;x
41077;Chief of Staff;坎蒂多 昆蒂奥 雷耶斯 ;38;SD;School of Defence;Medium;M41077;x
41078;Chief of Staff;胡安 弗兰基 弗兰克 ;43;ML;School of Manoeuvre;Medium;M41078;x
41079;Chief of Staff;朱利奥 切萨尔 瓦多拉 ;47;SL;School of Psychology;Medium;M41027;x
41081;Chief of Army;恩里科 阿曼西亚斯 罗德里格斯 ;38;SC;Elastic Defence Doctrine;Medium;M41081;x
41082;Chief of Army;坎蒂多 昆蒂奥 雷耶斯 ;38;SD;Static Defence Doctrine;Medium;M41077;x
41083;Chief of Army;赫克托 洛佩斯 卡马拉 ;43;ML;Guns and Butter Doctrine;Medium;M41083;x
41085;Chief of Army;埃利埃泽 迪亚兹 卡米纳特 ;47;SL;Decisive Battle Doctrine;Medium;M41085;x
41088;Chief of Navy;拉斐尔 马克斯 阿亚拉 ;38;SD;Base Control Doctrine;Medium;M41029;x
41089;Chief of Navy;弗朗西斯科 苏亚雷斯 比利亚夫兰科 ;43;ML;Open Seas Doctrine;Medium;M41089;x
41090;Chief of Navy;卡洛斯 内维斯 奥乔亚 ;43;SD;Indirect Approach Doctrine;Medium;M41059;x
41091;Chief of Navy;A 梅尔廷 德 拉 弗洛雷斯 ;47;SL;Power Projection Doctrine;Medium;M41091;x
41092;Chief of Navy;克劳迪奥 维奥 巴尔德斯 ;47;SD;Open Seas Doctrine;Medium;M41092;x
41093;Chief of Air Force;巴伦廷 戈梅 ;38;SC;Carpet Bombing Doctrine;Medium;M41051;x
41094;Chief of Air Force;阿尔瓦罗 莱登 古铁雷斯 ;38;SD;Air Superiority Doctrine;Medium;M41030;x
41095;Chief of Air Force;奥林多 奥赫托 瓦雷拉 ;43;ML;Army Aviation Doctrine;Medium;M41095;x
41096;Chief of Air Force;埃内斯托 桑切斯 埃利桑多 ;43;SD;Army Aviation Doctrine;Medium;M41057;x
41097;Chief of Air Force;A 梅尔廷 德 拉 弗洛雷斯 ;47;SL;Naval Aviation Doctrine;Medium;M41091;x
41098;Chief of Air Force;曼努埃尔 雷东多 加尔万 ;47;LWR;Vertical Envelopment Doctrine;Medium;M41098;x
41011;Head of State;阿贝拉尔多 马丁内斯 ;36;FA;Stern Imperialist;High;M41011;x
41012;Head of Government;阿贝拉尔多 马丁内斯 ;36;FA;Old Admiral;High;M41011;x
41013;Foreign Minister;路易斯 圣地亚哥 雷格拉 ;36;FA;The Cloak N Dagger Schemer;Medium;M41013;x
41014;Minister of Armament;阿贝拉尔多 迪亚兹 阿尔瓦雷兹 ;36;FA;Infantry Proponent;Medium;M41014;x
41015;Minister of Security;罗伯托 阿科斯塔 迪耶 ;36;FA;Crime Fighter;Medium;M41015;x
41016;Head of Military Intelligence;卢伊 索罗 孔蒂奥尼 ;36;FA;Industrial Specialist;Medium;M41016;x
41017;Chief of Staff;泰奥 比卡迪 拉莫斯 ;36;FA;School of Manoeuvre;Medium;M41017;x
41018;Chief of Army;泰奥 比卡迪 拉莫斯 ;36;FA;Elastic Defence Doctrine;Medium;M41017;x
41019;Chief of Navy;赫克托 博尼拉 戈梅 ;36;FA;Base Control Doctrine;Medium;M41019;x
41020;Chief of Air Force;弗朗西斯科 卡斯蒂利亚 帕雷德斯 ;36;FA;Army Aviation Doctrine;Medium;M41020;x
41021;Head of State;埃米利奥 弗鲁戈尼 ;36;LWR;Autocratic Charmer;High;M41021;x
41022;Head of Government;埃米利奥 弗鲁戈尼 ;36;LWR;Ambitious Union Boss;High;M41021;x
41023;Foreign Minister;卡利斯托 阿罗约 塔鲍尔达 ;36;LE;Great Compromiser;Medium;M41023;x
41024;Minister of Armament;拉蒙 梅嫩德斯 苏里斯 ;36;LE;Infantry Proponent;Medium;M41024;x
41025;Minister of Security;热苏斯 梅嫩德斯 苏里斯 ;36;LWR;Back Stabber;Medium;M41025;x
41099;Head of State;安德烈斯 特鲁埃瓦 马丁内斯 ;52;SL;Pig-headed Isolationist;Medium;M41074;x
41100;Chief of Air Force;拉波 博尔赫斯 泰德;39;ML;Carpet Bombing Doctrine;High;M_URU_Larre_Borges_Tyde;x
