UTC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
77102;Head of Military Intelligence;尼古拉 斯托埃内斯库 ;36;ML;Political Specialist;Medium;M22095;x
77103;Head of Military Intelligence;尼古拉斯 蒂图列斯科 ;36;ML;Industrial Specialist;Medium;M22115;x
77104;Head of Military Intelligence;格奥尔基 萨沃亚 ;36;ML;Logistics Specialist;Low;M22117;x
77105;Head of Military Intelligence;谢尔盖 尼古劳 ;36;ML;Technical Specialist;High;M22122;x
77106;Head of Military Intelligence;瓦西尔 希多尔-鲁斯特克 ;36;ML;Naval Intelligence Specialist;Medium;M518049;x
77107;Chief of Staff;康斯坦丁 潘塔济 ;36;ML;School of Defence;High;M22126;x
77108;Chief of Staff;维克托 安东内斯库 ;36;ML;School of Mass Combat;High;M22007;x
77109;Chief of Staff;拉杜 科尔涅 ;36;ML;School of Manoeuvre;High;M22128;x
77110;Chief of Staff;康斯坦丁 瑟讷泰斯库 ;36;ML;School of Fire Support;High;M22049;x
77111;Chief of Staff;基里尔 奥西马克 ;36;ML;School of Psychology;Medium;M518058;x
77112;Chief of Army;科斯廷 约纳什库 ;36;ML;Static Defence Doctrine;High;M22135;x
77113;Chief of Army;格奥尔基 米哈伊尔 ;36;ML;Decisive Battle Doctrine;Medium;M22136;x
77114;Chief of Army;格奥尔基 特特雷斯库 ;36;ML;Guns and Butter Doctrine;Medium;M22138;x
77115;Chief of Army;康斯坦丁 瑟讷泰斯库 ;36;ML;Elastic Defence Doctrine;High;M22049;x
77116;Chief of Army;达米安 拉什库 ;36;ML;Armoured Spearhead Doctrine;Medium;M22028;x
77117;Chief of Navy;伊万 杰奥尔杰斯库 ;36;ML;Indirect Approach Doctrine;Medium;M22150;x
77118;Chief of Navy;尼古拉 索瓦 ;36;ML;Base Control Doctrine;High;M22151;x
77119;Chief of Navy;尼古拉 杜卡 迪 西尔瓦尼亚 ;36;ML;Open Seas Doctrine;High;M22152;x
77120;Chief of Navy;格奥尔基 伊利埃斯卡 ;36;ML;Power Projection Doctrine;Medium;M22029;x
77121;Chief of Navy;谢尔盖 戈尔什科夫 ;36;ML;Decisive Naval Battle Doctrine;Medium;M518068;x
77122;Chief of Air Force;格奥尔基 日耶内斯库 ;36;ML;Army Aviation Doctrine;High;M22020;x
77123;Chief of Air Force;埃米尔 乔治乌 ;36;ML;Air Superiority Doctrine;Medium;M22158;x
77124;Chief of Air Force;保罗 特奥多雷斯库 ;36;ML;Carpet Bombing Doctrine;Medium;M22159;x
77125;Chief of Air Force;格奥尔基 瓦西柳 ;36;ML;Naval Aviation Doctrine;Low;M22160;x
77126;Chief of Air Force;迪米特里 迈伦 ;36;ML;Vertical Envelopment Doctrine;Medium;M518076;x
