IDC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
543077;Chief of Army;Î÷Ë÷Íß ÄªÄáÀÕ ;36;SD;Decisive Battle Doctrine;High;M541046;x
543078;Chief of Army;Î÷Ë÷Íß Íß¼ÓÑÅ·ë ;36;ML;Guns and Butter Doctrine;Medium;M541049;x
543079;Chief of Army;Åå²îÀ­ Âí¹şÎÚÅÁËş ;36;SC;Elastic Defence Doctrine;Medium;M540008;x
543080;Chief of Army;ÀÊÅµ ;36;PA;Static Defence Doctrine;Medium;M541035;x
543081;Chief of Army;ÑîÎÄÃ÷ ;36;FA;Decisive Battle Doctrine;Medium;M542046;x
543082;Chief of Army;ÈøÍú ·ë ;36;NS;Armoured Spearhead Doctrine;Medium;M540037;x
543083;Chief of Navy;ÓÈ»ô¸ñÀû ;36;ST;Base Control Doctrine;Medium;M541055;x
543084;Chief of Navy;×¯áÔóÆ ;36;LE;Power Projection Doctrine;Medium;M542052;x
543085;Chief of Navy;ËÕ·¢Å¬·ë ;36;LWR;Open Seas Doctrine;Medium;M540041;x
543086;Chief of Navy;ÀÊÅµ ;36;SD;Decisive Naval Battle Doctrine;Medium;M541035;x
543087;Chief of Navy;Î÷ÎÌ ;36;ML;Base Control Doctrine;Medium;M541041;x
543088;Chief of Navy;ËÕÍòÄÉÀ­ ;36;SC;Power Projection Doctrine;Medium;M540009;x
543089;Chief of Navy;ÅµÂŞ¶Ø Î÷¹şÅ¬¿Ë ;36;PA;Open Seas Doctrine;Medium;M541054;x
543090;Chief of Navy;ºú½úÈ« ;36;FA;Decisive Naval Battle Doctrine;Medium;M542051;x
543091;Chief of Navy;¹Å °¢ÅÉ ;36;NS;Indirect Approach Doctrine;Medium;M540034;x
543092;Chief of Air Force;²¼ÀÊË÷¿¨ ;36;ST;Vertical Envelopment Doctrine;Medium;M541059;x
543093;Chief of Air Force;ÈîÓÑÊÙ ;36;LE;Air Superiority Doctrine;Medium;M542055;x
543094;Chief of Air Force;Íõ±¦ ;36;LWR;Army Aviation Doctrine;Medium;M540038;x
543095;Chief of Air Force;²ñÉ£ÔÆ ;36;SD;Naval Aviation Doctrine;Medium;M541029;x
543096;Chief of Air Force;Î÷Ë÷Íß ÓÈµÂÍú ;36;ML;Vertical Envelopment Doctrine;High;M541005;x
543097;Chief of Air Force;ÎÄÎÌ ÄÉÕ¼°ÍÈû ;36;SC;Air Superiority Doctrine;Medium;M540010;x
543098;Chief of Air Force;ÅµÂŞ¶Ø Î÷¹şÅ¬¿Ë ;36;PA;Army Aviation Doctrine;Medium;M541058;x
543099;Chief of Air Force;ÑîÎÄÃ÷ ;36;FA;Naval Aviation Doctrine;Medium;M542046;x
543100;Chief of Air Force;ËóÀûÌØ ÈøËóÀûÌØ ;36;NS;Carpet Bombing Doctrine;Medium;M540043;x
