UBO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79625;Minister of Security;勒内 尼古劳 ;36;ML;Compassionate Gentleman;High;M2112;x
79626;Minister of Security;塞巴斯蒂安 波萨斯 佩雷亚 ;36;ML;Crime Fighter;High;M11093;x
79627;Minister of Security;皮埃尔 奥古斯特 沙尔迪尼 ;36;ML;Prince of Terror;Low;M2098;x
79628;Minister of Security;朱利奥 洛佩斯 奥利万 ;36;ML;Back Stabber;Medium;M11188;x
79629;Minister of Security;卡米尔 肖当 ;36;ML;Man of the People;Medium;M2036;x
79630;Minister of Security;亚瑟 方丹 ;36;ML;Efficient Sociopath;Medium;M2106;x
79631;Minister of Security;亚历杭德罗 莱罗克斯 加西亚 ;36;ML;Crooked Kleptocrat;High;M11051;x
79632;Head of Military Intelligence;若泽 吉拉尔 佩雷拉 ;36;ML;Technical Specialist;High;M11220;x
79633;Head of Military Intelligence;丹尼尔 迈尔 ;36;ML;Logistics Specialist;Medium;M2023;x
79634;Head of Military Intelligence;里卡多 桑佩尔 伊瓦涅斯 ;36;ML;Political Specialist;Medium;M11104;x
79635;Head of Military Intelligence;勒内 尼古劳 ;36;ML;Dismal Enigma;High;M2112;x
79636;Head of Military Intelligence;何塞普 塔拉德利亚斯 约安 ;36;ML;Industrial Specialist;Medium;M11218;x
79637;Head of Military Intelligence;雅克 布伦瑞克 ;36;ML;Naval Intelligence Specialist;High;M2132;x
79638;Chief of Staff;维森特 罗约 柳奇 ;36;ML;School of Manoeuvre;Very High;M11247;x
79639;Chief of Staff;莫里斯 甘末林 ;36;ML;School of Fire Support;Very High;M2007;x
79640;Chief of Staff;托里比奥 马丁内斯 卡布雷拉 ;36;ML;School of Mass Combat;Medium;M11252;x
79641;Chief of Staff;马克西姆 魏刚 ;36;ML;School of Defence;Very High;M2146;x
79642;Chief of Staff;曼努埃尔 埃斯特拉达 芒雄 ;36;ML;School of Psychology;High;M11219;x
79643;Chief of Army;让 贝尔廷-布叙 ;36;ML;Elastic Defence Doctrine;Medium;M2164;x
79644;Chief of Army;塞巴斯蒂安 波萨斯 佩雷亚 ;36;ML;Static Defence Doctrine;High;M11093;x
79645;Chief of Army;皮埃尔 法比安 ;36;ML;Decisive Battle Doctrine;Medium;M2167;x
79646;Chief of Army;多明戈 巴泰特 梅斯特雷 ;36;ML;Armoured Spearhead Doctrine;Medium;M11262;x
79647;Chief of Army;利昂 维克托 布儒瓦 ;36;ML;Guns and Butter Doctrine;Medium;M2157;x
79648;Chief of Navy;若泽 吉拉尔 佩雷拉 ;36;ML;Open Seas Doctrine;High;M11220;x
79649;Chief of Navy;艾蒂安 施伦贝格尔 ;36;ML;Decisive Naval Battle Doctrine;High;M2174;x
79650;Chief of Navy;圣地亚哥 卡萨雷斯 基罗加 ;36;ML;Power Projection Doctrine;High;M11137;x
79651;Chief of Navy;塞萨尔 坎平基 ;36;ML;Indirect Approach Doctrine;Very High;M2173;x
79652;Chief of Navy;安东尼奥 鲁伊斯 富内斯-加西亚 ;36;ML;Base Control Doctrine;Medium;M11314;x
79653;Chief of Air Force;马塞尔 德亚 ;36;ML;Air Superiority Doctrine;Low;M2183;x
79654;Chief of Air Force;路易 孔帕尼斯 若维尔 ;36;ML;Naval Aviation Doctrine;Medium;M11310;x
79655;Chief of Air Force;皮埃尔 科特 ;36;ML;Army Aviation Doctrine;Very High;M2184;x
79656;Chief of Air Force;阿尔弗雷多 金德兰 杜阿尼 ;36;ML;Carpet Bombing Doctrine;High;M11020;x
79657;Chief of Air Force;盖伊 拉 尚布尔 ;36;ML;Vertical Envelopment Doctrine;Medium;M2188;x
