CUB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
33083;Minister of Security;安东尼奥 S 德 布斯塔门特 ;46;PA;Crime Fighter;Medium;M33083;x
33084;Minister of Security;圣达利奥 洪科 ;36;LWR;Prince of Terror;Very Low;M33025;x
33085;Minister of Security;加布里埃尔 德 拉 坎帕-库菲 ;44;LWR;Man of the People;Low;M33085;x
33086;Head of Military Intelligence;若泽 巴尔内特-维纳格拉斯 ;36;ML;Political Specialist;Medium;M33001;x
33087;Head of Military Intelligence;胡安 巴尔德斯 伊拉里奥 ;40;ML;Logistics Specialist;Medium;M33016;x
33088;Head of Military Intelligence;拉斐尔 马丁内斯 奥尔蒂斯 ;44;ML;Dismal Enigma;Medium;M33088;x
33089;Head of Military Intelligence;拉蒙 格劳 圣 梅尔廷 ;36;SD;Political Specialist;Low;M33011;x
33090;Head of Military Intelligence;卡洛斯 埃维亚 ;38;SD;Industrial Specialist;Low;M33015;x
33091;Head of Military Intelligence;波菲里奥 弗兰卡 ;40;SC;Dismal Enigma;Medium;M33066;x
33092;Head of Military Intelligence;费代里科 拉雷多 布吕 ;44;PA;Technical Specialist;Medium;M33014;x
33093;Head of Military Intelligence;胡安 巴尔德斯 伊拉里奥 ;46;PA;Logistics Specialist;Medium;M33016;x
33094;Head of Military Intelligence;安东尼奥 G 霍尔梅斯 ;36;LWR;Dismal Enigma;Very Low;M33022;x
33095;Head of Military Intelligence;菲德尔 卡斯特罗 ;44;LWR;Political Specialist;Very Low;M33095;x
33097;Chief of Staff;富尔亨西奥 巴蒂斯塔 ;36;SC;School of Mass Combat;Undying;M33097;x
33100;Chief of Staff;胡安 布拉斯 埃尔南斯 ;36;LWR;School of Manoeuvre;Medium;M33027;x
33101;Chief of Staff;菲德尔 卡斯特罗 ;44;LWR;School of Mass Combat;Very Low;M33095;x
33103;Chief of Army;富尔亨西奥 巴蒂斯塔 ;36;SC;Decisive Battle Doctrine;Undying;M33097;x
33106;Chief of Army;胡安 布拉斯 埃尔南斯 ;36;LWR;Elastic Defence Doctrine;Medium;M33027;x
33107;Chief of Army;劳尔 卡斯特罗 ;44;LWR;Static Defence Doctrine;Medium;M33107;x
33109;Chief of Navy;安杰尔 冈萨雷斯 ;36;SC;Open Seas Doctrine;Medium;M33109;x
33112;Chief of Navy;圣达利奥 洪科 ;36;LWR;Open Seas Doctrine;Medium;M33025;x
33114;Chief of Air Force;恩里克 C 罗拉斯 ;36;ML;Naval Aviation Doctrine;Medium;M33020;x
33115;Chief of Air Force;塞尔焦 卡尔博 ;44;ML;Vertical Envelopment Doctrine;Medium;M33005;x
33118;Chief of Air Force;帕莱斯 梅嫩德斯 ;44;PA;Air Superiority Doctrine;High;M33118;x
33119;Chief of Air Force;阿尔瓦罗 P 昆塔纳 ;36;LWR;Air Superiority Doctrine;High;M33030;x
33120;Head of Military Intelligence;加布里埃尔 德 拉 坎帕-库菲 ;41;LWR;Technical Specialist;Low;M33085;x
33121;Head of Government;劳尔 洛佩斯-卡斯蒂略 ;47;SC;Happy Amateur;High;M33121;x
33122;Head of Government;曼努埃尔 德 瓦罗纳 洛雷多 ;48;SC;Flamboyant Tough Guy;High;M33122;x
33123;Head of Government;费利克斯 兰奇斯 桑切斯 ;50;SC;Political Protege;High;M33123;x
33124;Head of Government;奥斯卡 洛佩斯-马丁内斯 ;51;SC;Naive Optimist;High;M33124;x
33125;Foreign Minister;卡洛斯 普里奥 索卡雷斯 ;47;SC;Ideological Crusader;Medium;M33125;x
33126;Minister of Security;安德烈斯 佩雷斯 肖蒙 ;51;SC;Prince of Terror;Medium;M33126;x
33127;Minister of Security;菲德尔 卡斯特罗 ;58;LWR;Back Stabber;Low;M_CUB_Fidel_Castro;x
33128;Head of Government;菲德尔 卡斯特罗 ;59;LWR;Flamboyant Tough Guy;Low;M_CUB_Fidel_Castro;x
33129;Chief of Staff;埃内斯托·切·格瓦拉;56;LE;School of Defence;Medium;M_CUB_Che_Ernesto_Guevara;x
33130;Foreign Minister;埃内斯托·切·格瓦拉;59;LE;Biased Intellectual;Medium;M_CUB_Che_Ernesto_Gueva;x
33131;Head of Military Intelligence;埃内斯托·切·格瓦拉;60;LE;Political Specialist;Medium;M_CUB_Che_Ernesto_Gueva;x
