ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1050;Foreign Minister;亚瑟 韦尔兹利 勋爵 ;39;FA;Great Compromiser;Low;M1050;x
1051;Foreign Minister;乔斯林 埃罗 勋爵 ;40;FA;The Cloak N Dagger Schemer;Medium;M1051;x
1052;Foreign Minister;亨利 威廉森 ;41;FA;Biased Intellectual;Medium;M1052;x
1053;Foreign Minister;威斯敏斯特公爵 ;42;FA;Apologetic Clerk;Medium;M1053;x
1054;Foreign Minister;阿奇博尔德 拉姆齐 ;43;FA;Iron Fisted Brute;Medium;M1054;x
1055;Foreign Minister;拉贾尼 帕尔默 杜德 ;36;LWR;Biased Intellectual;Medium;M1023;x
1056;Foreign Minister;菲尔 皮拉廷 ;40;ST;The Cloak N Dagger Schemer;Medium;M1056;x
1057;Foreign Minister;D N 普里特 ;43;ST;Apologetic Clerk;Medium;M1057;x
1058;Foreign Minister;戴夫 斯普林霍尔 ;44;LWR;Iron Fisted Brute;Medium;M1058;x
1059;Foreign Minister;伊恩 米卡尔多 ;45;LWR;Ideological Crusader;Medium;M1059;x
1060;Minister of Armament;约翰 西蒙 爵士 ;37;SC;Resource Industrialist;High;M1005;x
1061;Minister of Armament;约翰 安德森 爵士 ;39;SC;Laissez Faires Capitalist;High;M1061;x
1062;Minister of Armament;金斯利 伍德 爵士 ;40;SC;Resource Industrialist;High;M1062;x
1063;Minister of Armament;勋爵 比弗布鲁克 ;40;SC;Administrative Genius;Very High;M1063;x
1064;Minister of Armament;理查德 A 巴特勒 ;45;SC;Theoretical Scientist;Very High;M1064;x
1065;Minister of Armament;休 达尔顿 ;37;SD;Resource Industrialist;Medium;M1065;x
1066;Minister of Armament;克莱门特 艾德礼 ;41;SD;Air to Ground Proponent;Medium;M1040;x
1067;Minister of Armament;斯塔福德 克里普斯 ;42;SD;Air to Ground Proponent;Medium;M1024;x
1068;Minister of Armament;奥斯瓦尔德 莫斯利 ;36;FA;Resource Industrialist;Undying;M1012;x
1069;Minister of Armament;阿利奥特 弗农-罗 ;38;FA;Air to Ground Proponent;High;M1069;x
1070;Minister of Armament;尼尔 弗朗西斯-霍金斯 ;39;FA;Submarine Proponent;High;M1070;x
1071;Minister of Armament;亚历山大 雷文-汤姆森 ;41;FA;Strategic Air Proponent;High;M1071;x
1072;Minister of Armament;佐利亚 詹克斯 ;42;FA;Battle Fleet Proponent;High;M1072;x
1073;Minister of Armament;A J P 泰勒 ;44;FA;Laissez Faires Capitalist;High;M1073;x
1074;Minister of Armament;斯塔福德 克里普斯 ;36;LWR;Theoretical Scientist;Medium;M1024;x
1075;Minister of Armament;莱斯利 索利 ;38;ST;Resource Industrialist;Medium;M1075;x
1076;Minister of Armament;亚瑟 霍纳 ;40;ST;Administrative Genius;Medium;M1076;x
1077;Minister of Armament;杰克 加斯特 ;41;ST;Submarine Proponent;Medium;M1077;x
1078;Minister of Armament;阿贝 莫法特 ;42;LWR;Tank Proponent;Medium;M1078;x
1079;Minister of Armament;威廉 鲁斯特 ;44;ST;Infantry Proponent;Medium;M1079;x
1080;Minister of Armament;孔尼亚 齐利亚克斯 ;45;LWR;Air Superiority Proponent;Medium;M1080;x
1081;Minister of Security;斯坦利 鲍尔温 ;36;SC;Man of the People;Medium;M1002;x
1082;Minister of Security;奥斯丁 张伯伦 爵士 ;36;SC;Efficient Sociopath;High;M1082;x
1083;Minister of Security;坦普伍德 子爵 ;37;SC;Man of the People;High;M1083;x
1085;Minister of Security;大卫 马克斯韦尔 法伊夫 ;41;SC;Compassionate Gentleman;High;M1085;x
1086;Minister of Security;唐纳德 布拉德利 萨默维尔 ;45;SC;Crime Fighter;High;M1086;x
1087;Minister of Security;布伦丹 布拉肯 ;46;SC;Silent Lawyer;Very High;M1087;x
1088;Minister of Security;赫伯特 莫里森 ;37;SD;Man of the People;Very High;M1048;x
1089;Minister of Security;詹姆斯 丘特尔 埃德 ;45;SD;Prince of Terror;Very High;M1089;x
1090;Minister of Security;阿诺德 斯潘塞-利斯 ;36;FA;Prince of Terror;Low;M1015;x
1091;Minister of Security;约翰 贝克特 ;40;FA;Compassionate Gentleman;Medium;M1091;x
1092;Minister of Security;阿瑟·K.切斯特顿;41;FA;Back Stabber;Medium;M1092;x
1093;Minister of Security;叶夫雷 哈姆 ;42;FA;Crime Fighter;Medium;M1093;x
1094;Minister of Security;马克斯韦尔 奈特 ;43;FA;Man of the People;Medium;M1094;x
1095;Minister of Security;瓦奥莱特 兰斯伯里 ;36;ST;Prince of Terror;Medium;M1095;x
1096;Minister of Security;莱斯特 哈钦森 ;38;ST;Back Stabber;Medium;M1096;x
1097;Minister of Security;约翰 普拉茨-米尔斯 ;36;LWR;Silent Lawyer;Medium;M1097;x
1098;Minister of Security;悉尼 西尔弗曼 ;41;ST;Man of the People;Medium;M1098;x
1099;Minister of Security;巴巴拉 卡斯尔 ;45;LWR;Crime Fighter;Medium;M1099;x
1100;Minister of Security;基姆 菲尔比 ;46;ST;Compassionate Gentleman;Very High;M1025;x
1102;Head of Military Intelligence;切尔伍德的 塞西尔爵士 ;37;SC;Industrial Specialist;Very High;M1102;x
1103;Head of Military Intelligence;罗伯特 孟席斯 爵士 ;40;SC;Dismal Enigma;Very High;M1103;x
1105;Head of Military Intelligence;基姆 菲尔比 ;46;SC;Technical Specialist;Very Low;M1105;x
1106;Head of Military Intelligence;布伦丹 布拉肯 ;37;SD;Political Specialist;Very High;M1087;x
1107;Head of Military Intelligence;S.P. 詹姆斯 ;36;FA;Industrial Specialist;High;M1016;x
1108;Head of Military Intelligence;巴里 E 多姆沃 爵士 ;40;FA;Naval Intelligence Specialist;High;M1019;x
1109;Head of Military Intelligence;马克斯韦尔 奈特 ;42;FA;Logistics Specialist;Medium;M1094;x
1110;Head of Military Intelligence;约翰 埃默里 ;44;FA;Dismal Enigma;Medium;M1110;x
1111;Head of Military Intelligence;威廉 加拉赫 ;36;LWR;Industrial Specialist;High;M1111;x
1112;Head of Military Intelligence;克里斯托弗 希尔 ;41;ST;Naval Intelligence Specialist;High;M1112;x
1113;Head of Military Intelligence;安奈林 贝文 ;43;LWR;Dismal Enigma;High;M1021;x
1114;Head of Military Intelligence;安东尼 布伦特 ;45;LWR;Political Specialist;Very High;M1026;x
1115;Head of Military Intelligence;基姆 菲尔比 ;46;ST;Technical Specialist;Very High;M1105;x
1116;Chief of Staff;西里尔 蒂弗内尔 爵士 ;36;ML;School of Defence;Very High;M1116;x
1117;Chief of Staff;约翰 高特 勋爵 ;36;ML;School of Manoeuvre;Very High;M1117;x
1118;Chief of Staff;埃德蒙 艾恩赛德 爵士 ;38;ML;School of Psychology;Very High;M1118;x
1119;Chief of Staff;约翰 狄尔 爵士 ;39;ML;School of Fire Support;Very High;M1119;x
1120;Chief of Staff;阿兰 布鲁克 爵士 ;40;ML;School of Mass Combat;Very High;M1120;x
1121;Chief of Staff;莱昂内尔 伊斯梅 爵士 ;37;SD;School of Fire Support;Very High;M1121;x
1122;Chief of Staff;阿奇博尔德 奈 ;41;SD;School of Mass Combat;Very High;M1122;x
1123;Chief of Staff;伯纳德 蒙哥马利 爵士 ;45;SL;School of Manoeuvre;Medium;M1123;x
1124;Chief of Staff;J F C 富勒 ;36;NS;School of Manoeuvre;Medium;M1017;x
1125;Chief of Staff;巴里 E 多姆沃 爵士 ;39;FA;School of Psychology;High;M1019;x
1126;Chief of Staff;汤姆 温特林厄姆 ;36;ST;School of Mass Combat;High;M1027;x
1127;Chief of Army;西里尔 蒂弗内尔 爵士 ;36;ML;Guns and Butter Doctrine;Very High;M1116;x
1128;Chief of Army;约翰 高特 勋爵 ;37;ML;Armoured Spearhead Doctrine;Very High;M1117;x
1129;Chief of Army;埃德蒙 艾恩赛德 爵士 ;39;ML;Static Defence Doctrine;Very High;M1118;x
1130;Chief of Army;阿兰 布鲁克 爵士 ;41;ML;Decisive Battle Doctrine;Very High;M1120;x
1132;Chief of Army;约翰 狄尔 爵士 ;37;ML;Elastic Defence Doctrine;Very High;M1119;x
1133;Chief of Army;伯纳德 蒙哥马利 爵士 ;45;SL;Armoured Spearhead Doctrine;Medium;M1123;x
1134;Chief of Army;J F C 富勒 ;36;NS;Armoured Spearhead Doctrine;Medium;M1017;x
1135;Chief of Army;比尔 亚历山大 ;36;ST;Static Defence Doctrine;High;M1028;x
1137;Chief of Navy;罗杰 巴克豪斯 爵士 ;37;ML;Indirect Approach Doctrine;High;M1137;x
1138;Chief of Navy;安德鲁 坎宁汉姆 爵士 ;43;ML;Power Projection Doctrine;High;M1138;x
1139;Chief of Navy;约翰 坎宁汉姆 爵士 ;45;ML;Open Seas Doctrine;Very High;M1139;x
1140;Chief of Navy;达德利 庞德 爵士 ;37;ML;Decisive Naval Battle Doctrine;Very High;M1140;x
1142;Chief of Navy;巴里 E 多姆沃 爵士 ;36;FA;Power Projection Doctrine;High;M1019;x
1143;Chief of Navy;E H 科尔 ;42;NS;Open Seas Doctrine;High;M1143;x
1144;Chief of Navy;弗雷德 科普曼 ;36;ST;Indirect Approach Doctrine;High;M1029;x
1145;Chief of Navy;哈里 波利特 ;39;ST;Decisive Naval Battle Doctrine;High;M1022;x
1147;Chief of Air Force;查尔斯 伯塔 爵士 ;36;ML;Carpet Bombing Doctrine;Very High;M1147;x
1148;Chief of Air Force;亚瑟 特德 爵士 ;45;ML;Army Aviation Doctrine;Very High;M1148;x
1149;Chief of Air Force;西里尔 纽瓦尔 爵士 ;37;ML;Air Superiority Doctrine;Very High;M1149;x
1151;Chief of Air Force;约翰 奇米尔 爵士 ;36;FA;Vertical Envelopment Doctrine;High;M1020;x
1152;Chief of Air Force;威廉姆斯 森皮尔 勋爵 ;39;FA;Carpet Bombing Doctrine;High;M1152;x
1153;Chief of Air Force;唐纳德 马伦达兹 ;41;FA;Air Superiority Doctrine;High;M1153;x
1154;Chief of Air Force;雷尔顿 弗里曼 ;43;FA;Naval Aviation Doctrine;High;M1154;x
1155;Chief of Air Force;约翰 斯特雷奇 ;36;ST;Carpet Bombing Doctrine;High;M1030;x
1157;Head of Government;哈利法克斯 勋爵 ;40;SC;Happy Amateur;Very High;M1045;x
1158;Foreign Minister;坦普伍德 子爵 ;39;SC;Apologetic Clerk;High;M1083;x
1159;Minister of Security;约翰 安德森 爵士 ;39;SC;Compassionate Gentleman;High;M1061;x
1160;Head of Government;大卫 劳埃德 乔治 ;40;SD;Naive Optimist;Very High;M1160;x
1161;Foreign Minister;西尔 阿齐博尔德 辛克莱 ;40;SD;Great Compromiser;High;M1161;x
1162;Minister of Security;利奥 埃默里 ;40;SD;Crime Fighter;High;M1162;x
1163;Minister of Armament;莱斯利 霍尔-贝利沙 ;37;SC;Infantry Proponent;Low;M1163;x
1164;Chief of Army;哈罗德 亚历山大 爵士 ;44;ML;Decisive Battle Doctrine;High;L1006;x
1165;Chief of Army;迈尔斯 登普西 ;44;ML;Armoured Spearhead Doctrine;High;L1099;x
1166;Chief of Staff;黑斯廷斯 伊斯梅 ;45;ML;School of Defence;High;L1176;x
1167;Chief of Army;阿奇博尔德 韦维尔 勋爵 ;41;ML;Guns and Butter Doctrine;High;L1311;x
1168;Chief of Air Force;休 道丁 爵士 ;36;ML;Air Superiority Doctrine;Very High;L1435;x
1169;Chief of Air Force;亚瑟 哈里斯 ;41;ML;Carpet Bombing Doctrine;Very High;L1447;x
1170;Chief of Air Force;特拉福德 利-马洛里 爵士 ;42;ML;Air Superiority Doctrine;High;L1456;x
1171;Chief of Air Force;威廉 舒尔托 道格拉斯 爵士 ;44;SL;Air Superiority Doctrine;High;L1479;x
1172;Head of Military Intelligence;斯图尔特 孟席斯 爵士 ;39;SC;Political Specialist;High;M1172;x
1173;Minister of Armament;厄恩利 查特菲尔德 爵士 ;39;SC;Battle Fleet Proponent;High;M1009;x
1174;Minister of Armament;托马斯 因斯凯普 爵士 ;36;SC;Air Superiority Proponent;Very High;M1174;x
1175;Minister of Armament;安德鲁 邓肯 爵士 ;40;SC;Resource Industrialist;High;M1175;x
1176;Minister of Armament;约翰 摩尔-布拉巴宗 爵士 ;41;SC;Air Superiority Proponent;Medium;M1176;x
1177;Minister of Armament;希伯特 克罗斯 爵士 ;39;SC;Laissez Faires Capitalist;High;M1177;x
1178;Minister of Armament;阿尔弗雷德 达夫 库珀 ;36;SC;Battle Fleet Proponent;Medium;M1178;x
1179;Minister of Armament;奥利弗 斯坦利 ;40;SC;Military Entrepreneur;Very High;M1179;x
1180;Minister of Armament;亨利 马杰森 ;40;SC;Resource Industrialist;Very High;M1180;x
1181;Minister of Armament;佩西 格瑞戈 爵士 ;42;SC;Laissez Faires Capitalist;High;M1181;x
1182;Head of State;伊丽莎白二世 ;52;SC;Popular Figurehead;High;M1182;x
1246;Head of State;伊丽莎白二世 ;52;SD;Popular Figurehead;High;M1182;x
1184;Minister of Armament;阿尔伯特 V 亚历山大 ;46;SD;Resource Industrialist;Medium;M1184;x
1185;Minister of Armament;埃马努埃尔 欣韦尔 ;50;SD;Theoretical Scientist;Medium;M1185;x
1186;Minister of Armament;温斯顿 丘吉尔 ;51;SC;Theoretical Scientist;Medium;M1038;x
1187;Minister of Armament;哈罗德 亚历山大 爵士 ;52;SC;Tank Proponent;Medium;L1006;x
1188;Chief of Air Force;弗雷德里克 鲍希尔 爵士 ;36;ML;Naval Aviation Doctrine;High;L1417;x
1189;Head of State;乔治六世 ;36;SD;Benevolent Gentleman;High;M1033;x
1190;Head of State;伊丽莎白二世 ;52;SD;Popular Figurehead;High;M1182;x
1191;Head of Government;安东尼 艾登 ;55;SC;Political Protege;High;M1003;x
1192;Head of Government;哈罗德 麦克米伦 ;57;SC;Corporate Suit;High;M1192;x
1193;Head of Government;亚历克 道格拉斯-霍梅 ;63;SC;Happy Amateur;High;M1193;x
1194;Head of Government;休 盖茨克尔 ;54;SD;Naive Optimist;High;M1194;x
1195;Head of Government;哈罗德 威尔逊 ;63;SD;Ambitious Union Boss;High;M1195;x
1196;Foreign Minister;哈罗德 麦克米伦 ;55;SC;Biased Intellectual;Medium;M1192;x
1197;Foreign Minister;亚历克 道格拉斯-霍梅 ;60;SC;Great Compromiser;Medium;M1193;x
1198;Foreign Minister;理查德 A 巴特勒 ;63;SC;The Cloak N Dagger Schemer;Medium;M1064;x
1199;Foreign Minister;阿尔弗雷德 罗本斯 ;53;SD;Apologetic Clerk;Medium;M1199;x
1200;Foreign Minister;安奈林 贝文 ;56;SD;Ideological Crusader;Medium;M1021;x
1201;Foreign Minister;丹尼斯 希利 ;59;SD;Iron Fisted Brute;Medium;M1201;x
1202;Foreign Minister;哈罗德 威尔逊 ;61;SD;Ideological Crusader;Medium;M1195;x
1203;Foreign Minister;帕特里克 戈登 瓦尔克 ;63;SD;Apologetic Clerk;Medium;M1203;x
1204;Minister of Armament;哈罗德 麦克米伦 ;54;SC;Resource Industrialist;Medium;M1192;x
1205;Minister of Armament;瓦尔特 蒙克顿 ;55;SC;Air Superiority Proponent;Medium;M1205;x
1206;Minister of Armament;安东尼 黑德 ;56;SC;Submarine Proponent;Medium;M1206;x
1207;Minister of Armament;邓肯 桑迪斯 ;57;SC;Laissez Faires Capitalist;Medium;M1207;x
1208;Minister of Armament;哈罗德 沃特金森 ;59;SC;Infantry Proponent;Medium;M1208;x
1209;Minister of Armament;彼得 桑尼克罗夫特 ;62;SC;Military Entrepreneur;Medium;M1209;x
1210;Minister of Armament;哈罗德 威尔逊 ;59;SD;Administrative Genius;Medium;M1195;x
1211;Minister of Armament;丹尼斯 希利 ;61;SD;Resource Industrialist;Medium;M1201;x
1212;Minister of Security;格威利姆 劳埃德-乔治 ;54;SC;Prince of Terror;High;M1212;x
1213;Minister of Security;理查德 A 巴特勒 ;57;SC;Back Stabber;High;M1064;x
1214;Minister of Security;亨利 布鲁克 ;62;SC;Efficient Sociopath;High;M1214;x
1215;Minister of Security;帕特里克 戈登 瓦尔克 ;56;SD;Silent Lawyer;High;M1203;x
1216;Minister of Security;弗兰克 帕克南 ;61;SD;Man of the People;High;M1216;x
1217;Head of Military Intelligence;安东尼 黑德 ;51;SC;Industrial Specialist;High;M1206;x
1218;Head of Military Intelligence;约翰 休 黑尔 ;57;SC;Naval Intelligence Specialist;High;M1218;x
1219;Head of Military Intelligence;克里斯托弗 索姆斯 ;58;SC;Political Specialist;High;M1219;x
1220;Head of Military Intelligence;约翰 普罗富莫 ;60;SC;Dismal Enigma;High;M1220;x
1221;Head of Military Intelligence;詹姆斯 拉姆斯登 ;63;SC;Technical Specialist;High;M1221;x
1222;Head of Military Intelligence;詹姆斯 卡拉汉 ;52;SD;Industrial Specialist;Very High;M1222;x
1224;Chief of Staff;威廉 斯利姆 爵士 ;48;ML;School of Psychology;Medium;L1281;x
1225;Chief of Staff;约翰 哈丁 爵士 ;52;ML;School of Manoeuvre;Medium;L1153;x
1226;Chief of Staff;格拉尔德 坦普勒 爵士 ;55;ML;School of Mass Combat;Medium;L1294;x
1227;Chief of Staff;弗朗西斯 费斯廷 爵士 ;58;ML;School of Defence;Medium;L1120;x
1228;Chief of Staff;理查德 埃米亚特-赫尔 爵士 ;61;ML;School of Fire Support;Medium;L1009;x
1229;Chief of Army;威廉 斯利姆 爵士 ;48;ML;Elastic Defence Doctrine;Medium;L1281;x
1230;Chief of Army;约翰 哈丁 爵士 ;52;ML;Decisive Battle Doctrine;Medium;L1153;x
1231;Chief of Army;格拉尔德 坦普勒 爵士 ;55;ML;Guns and Butter Doctrine;Medium;L1294;x
1232;Chief of Army;弗朗西斯 费斯廷 爵士 ;58;ML;Static Defence Doctrine;Medium;L1120;x
1233;Chief of Army;理查德 埃米亚特-赫尔 爵士 ;61;ML;Armoured Spearhead Doctrine;Medium;L1009;x
1234;Chief of Navy;R B 布鲁斯-弗拉泽 爵士 ;48;ML;Base Control Doctrine;Very High;L1328;x
1235;Chief of Navy;罗德里克 麦格里戈尔 爵士 ;51;ML;Power Projection Doctrine;Very High;M1235;x
1236;Chief of Navy;蒙巴顿伯爵 弗朗西斯 ;55;ML;Decisive Naval Battle Doctrine;Very High;M1236;x
1237;Chief of Navy;大卫 卢斯 爵士 ;60;ML;Indirect Approach Doctrine;Very High;M1237;x
1239;Chief of Air Force;约翰 斯莱瑟 爵士 ;48;ML;Air Superiority Doctrine;High;L1480;x
1240;Chief of Air Force;威廉 迪克松 爵士 ;53;ML;Carpet Bombing Doctrine;High;M1240;x
1241;Chief of Air Force;德莫特 博伊尔 爵士 ;56;ML;Vertical Envelopment Doctrine;High;M1241;x
1242;Chief of Air Force;托马斯 派克 爵士 ;59;ML;Naval Aviation Doctrine;High;M1242;x
1243;Chief of Air Force;查尔斯 埃尔沃西 爵士 ;63;ML;Army Aviation Doctrine;High;M1243;x
1248;Head of Military Intelligence;以诺 鲍威尔;46;SC;Political Specialist;High;M_ENG_Enoch_Powell;x
1249;Head of Government;以诺 鲍威尔;50;PA;Political Protege;High;M_ENG_Enoch_Powell_paternal;x
1250;Minister of Armament;蒙塔古 科莱 诺曼;36;FA;Laissez Faires Capitalist;Medium;M_ENG_Montagu_Collet_Norman;x
1251;Chief of Staff;科林 麦维 格宾斯;40;SC;School of Mass Combat;High;M_ENG_Colin_Mcvean_Gubbins;x
1252;Foreign Minister;哈罗德·尼科尔森乔治 爵士;35;PA;Great Compromiser;Very high;M_ENG_Harold_Nicolson;x
1253;Head of Military Intelligence;哈罗德·尼科尔森乔治 爵士;40;SC;Political Specialist;Very high;M_ENG_Harold_Nicolson;x
1254;Foreign Minister;阿诺德 斯潘塞-利斯 ;36;FA;The Cloak N Dagger Schemer;Low;M_ENG_Arnold_Spencer-Leese;x
1255;Chief of Staff;罗伊·N 柯兰特;50;NS;School of Defence;Low;M_ENG_Courlander;x
1256;Minister of Security;玛格丽特·撒切尔;59;SC;Efficient Sociopath;Very High;M_ENG_Thatcher;X
1257;Foreign Minister;亨利·汉密尔顿 比米什;36;NS;The Cloak N Dagger Schemer;Low;M_ENG_HenryBeamish;x
1258;Foreign Minister;安德鲁 伏泰伊;47;FA;Iron Fisted Brute;Medium;M_ENG_AndrewFountaine;x
1259;Head of Government;安德鲁 伏泰伊;55;FA;Backroom Backstabber;Medium;M_ENG_AndrewFountaine;x
1260;Foreign Minister;罗伯特 C. G. 卡宁;35;FA;Biased Intellectual;Medium;M_ENG_RobertCanning;x
1261;Minister of Security;诺拉 达科 福克斯;37;FA;Efficient Sociopath;Medium;M_ENG_NorahDacre;x
1262;Foreign Minister;尼尔 弗朗西斯-霍金斯 ;43;FA;General Staffer;High;M1070;x
1263;Foreign Minister;阿瑟·K.切斯特顿;42;FA;Biased Intellectual;Medium;M1092;x
1264;Foreign Minister;约翰·安格斯 麦纳;39;FA;Great Compromiser;High;M_ENG_AngusMacnab;x
1265;Minister of Security;杰拉德·弗农沃洛普;38;FA;Back Stabber;Medium;M_ENG_GerardVWallop;x
1266;Chief of Staff;阿德里安 卡顿 爵士;43;ML;School of Manoeuvre;High;M_ENG_AdrianCarton;x
1267;Foreign Minister;阿德里安 卡顿 爵士;43;ML;General Staffer;High;M_ENG_AdrianCarton;x
1268;Chief of Staff;哈罗德 亚历山大 爵士 ;40;SC;School of Psychology;Medium;L1006;x
1269;Chief of Staff;克劳德·奥金莱克J.E爵士;36;SL;School of Defence;High;L1014;x
1270;Chief of Army;克劳德·奥金莱克J.E爵士;41;SL;Decisive Battle Doctrine;High;L1014;x
1271;Chief of Air Force;约翰·C·史来瑟爵士;45;ML;Army Aviation Doctrine;High;L1480;x
