PAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
95045;Foreign Minister;奥古斯托 萨穆埃尔 博伊德 ;40;ML;Iron Fisted Brute;Medium;M95038;x
95046;Foreign Minister;里卡尔多 德拉瓜迪亚 ;41;PA;Biased Intellectual;High;M95013;x
95047;Foreign Minister;奥克塔维奥 法夫雷加 洛佩斯 ;42;SC;Iron Fisted Brute;High;M95047;x
95048;Foreign Minister;萨穆埃尔 路易斯 阿兰加 ;45;PA;Great Compromiser;High;M95048;x
95049;Foreign Minister;罗伯托 希门尼斯 德 鲁 ;45;ML;Great Compromiser;High;M95049;x
95050;Foreign Minister;奥拉西奥 阿尔法罗 迪亚兹 ;46;PA;General Staffer;High;M95050;x
95051;Foreign Minister;埃尔马诺 卡斯蒂略 巴利多 ;47;SC;Apologetic Clerk;High;M95051;x
95052;Minister of Armament;内斯托尔 乌里贝 苏亚雷斯 ;36;SC;Infantry Proponent;Medium;M95052;x
95053;Minister of Armament;若泽 珀泽 ;40;SL;Resource Industrialist;Medium;M95053;x
95056;Minister of Armament;恩里克 希门尼斯 布林 ;45;SL;Tank Proponent;Medium;M95035;x
95057;Minister of Armament;伊格纳西奥 E 门多萨 ;46;SC;Infantry Proponent;Medium;M95005;x
95058;Minister of Security;拉乌尔 阿里亚斯 阿马多 ;36;SC;Man of the People;Medium;M95015;x
95059;Minister of Security;卡洛斯 门多萨 ;40;SL;Crime Fighter;Medium;M95059;x
95060;Minister of Security;胡安 雷蒙 ;41;SC;Man of the People;Medium;M95007;x
95061;Minister of Security;尼古拉斯 阿尔迪托 巴莱塔 ;45;SL;Compassionate Gentleman;Medium;M95061;x
95062;Minister of Security;若泽 阿维拉 ;46;SC;Crime Fighter;Medium;M95062;x
95063;Head of Military Intelligence;埃内斯托 法布雷加 洛佩斯 ;36;SC;Dismal Enigma;Medium;M95063;x
95064;Head of Military Intelligence;维克托 帕雷雅 ;40;SL;Industrial Specialist;Medium;M95025;x
95065;Head of Military Intelligence;巴尔多梅罗 塔尔特 ;41;PA;Logistics Specialist;Medium;M95016;x
95066;Head of Military Intelligence;伊格纳西奥 C 加尔塞斯 ;45;SL;Naval Intelligence Specialist;Medium;M95066;x
95067;Head of Military Intelligence;若泽 勒菲弗 德拉奥萨 ;46;SC;Industrial Specialist;Medium;M95042;x
95068;Chief of Staff;玻利瓦尔 比利亚里诺 ;36;SC;School of Defence;Medium;M95008;x
95069;Chief of Staff;胡安 若泽 帕拉达 ;40;SL;School of Manoeuvre;Medium;M95020;x
95070;Chief of Staff;帕西菲西奥 马西亚加 ;41;PA;School of Psychology;Medium;M95017;x
95071;Chief of Staff;若泽 戈梅 阿扬 ;45;SL;School of Fire Support;Medium;M95071;x
95073;Chief of Army;胡安 雷蒙 ;36;SC;Guns and Butter Doctrine;Medium;M95007;x
95074;Chief of Army;恩里科 法布雷古 帕斯 ;40;ML;Static Defence Doctrine;Medium;M95018;x
95077;Chief of Army;奥马尔 托里霍斯 ;46;PA;Armoured Spearhead Doctrine;Medium;M95077;x
95080;Chief of Navy;阿图罗 奥斯本 伊拉加 ;41;PA;Open Seas Doctrine;Medium;M95019;x
95082;Chief of Air Force;马科斯 A 赫拉韦特 ;36;SC;Army Aviation Doctrine;Medium;M95082;x
95083;Chief of Air Force;胡安 若泽 帕拉达 ;40;ML;Air Superiority Doctrine;Medium;M95020;x
95084;Chief of Air Force;卡洛斯 扎瓦拉 ;41;SC;Air Superiority Doctrine;Medium;M95036;x
95086;Chief of Air Force;内斯托尔 乌里贝 苏亚雷斯 ;46;SC;Carpet Bombing Doctrine;Medium;M95052;x
95087;Head of State;埃塞克尔 费尔南德斯 延 ;39;SC;Insignificant Layman;Medium;M95006;x
95088;Head of Government;埃塞克尔 费尔南德斯 延 ;39;SC;Smiling Oilman;Medium;M95006;x
95089;Head of Government;奥古斯托 萨穆埃尔 博伊德 ;40;SC;Ambitious Union Boss;High;M95038;x
95090;Head of State;奥古斯托 萨穆埃尔 博伊德 ;40;SC;Barking Buffoon;High;M95038;x
95011;Head of State;若泽 奥古斯丁 阿朗戈 ;36;PA;Resigned Generalissimo;High;M95011;x
95012;Head of Government;若泽 奥古斯丁 阿朗戈 ;36;PA;Old General;High;M95011;x
95021;Head of State;弗洛伊德 N 布里顿爵士 ;36;LE;Pig-headed Isolationist;High;M95021;x
95022;Head of Government;弗洛伊德 N 布里顿爵士 ;36;LE;Happy Amateur;High;M95021;x
95023;Foreign Minister;路易斯 科斯塔 阿里亚斯 ;36;LWR;Ideological Crusader;Medium;M95023;x
95024;Minister of Armament;弗洛伊德 N 布里顿爵士 ;36;LE;Administrative Genius;Medium;M95021;x
95025;Minister of Security;维克托 帕雷雅 ;36;LE;Crooked Kleptocrat;Medium;M95025;x
95027;Chief of Staff;阿道夫 古铁雷斯 克拉克 ;36;LE;School of Defence;Medium;M95027;x
95028;Chief of Army;曼努埃尔 里奥斯 乌里贝 ;36;LWR;Armoured Spearhead Doctrine;Medium;M95028;x
95029;Chief of Navy;费迪南多 埃尔南斯 伊图瓦特 ;36;LWR;Power Projection Doctrine;Medium;M95029;x
95030;Chief of Air Force;玛加丽塔 贝洛索 希门尼斯 ;36;LE;Vertical Envelopment Doctrine;Medium;M95030;x
95091;Head of State;多明戈 迪亚兹 阿罗塞梅纳 ;48;SC;Weary Stiffneck;High;M95091;x
95092;Head of Government;多明戈 迪亚兹 阿罗塞梅纳 ;48;SC;Silent Workhorse;High;M95091;x
95093;Minister of Security;恩里克 德 奥瓦里奥 ;48;SC;Back Stabber;Medium;M95093;x
95094;Head of State;丹尼尔 C 平松 ;49;ML;Benevolent Gentleman;High;M95004;x
95095;Head of Government;阿尔恰比德斯 阿罗塞梅纳 ;49;ML;Corporate Suit;High;M95095;x
95096;Head of State;阿尔恰比德斯 阿罗塞梅纳 ;51;SC;Insignificant Layman;High;M95095;x
95097;Head of Government;胡安 雷蒙 ;51;SC;Old General;High;M95007;x
95098;Foreign Minister;彼得罗 德尔 奥拉米奥 ;51;SC;Biased Intellectual;High;M95098;x
95099;Head of State;胡安 雷蒙 ;52;SC;Resigned Generalissimo;High;M95007;x
95100;Minister of Security;埃内斯托 德拉瓜迪亚 ;52;SC;Compassionate Gentleman;Medium;M95100;x
95101;Chief of Staff;恩里克 德 奥瓦里奥 ;52;SC;School of Mass Combat;Medium;M95093;x
