GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
46070;Chief of Army;R 布埃纳文图勒 皮内达 ;45;SC;Guns and Butter Doctrine;Medium;M46010;x
46071;Chief of Army;费代里科 蓬斯 瓦伊德斯 ;37;PA;Decisive Battle Doctrine;Medium;M46007;x
46072;Chief of Navy;托马斯 门多萨 乌里贝 ;45;SD;Indirect Approach Doctrine;Medium;M46009;x
46073;Chief of Navy;乔治 托列洛 加里多 ;44;LWR;Power Projection Doctrine;High;M46011;x
46074;Chief of Navy;若泽 埃祖伊拉 亚伯 ;45;SC;Open Seas Doctrine;Medium;M46019;x
46076;Chief of Air Force;弗朗西斯科 雅维耶 阿拉纳 ;44;LWR;Vertical Envelopment Doctrine;Very High;M46027;x
46077;Chief of Air Force;W. 特施 奥兰多 ;45;SD;Air Superiority Doctrine;Medium;M46077;x
46079;Chief of Air Force;米格尔 加西亚 格拉纳多斯 ;45;SC;Carpet Bombing Doctrine;Medium;M46079;x
46081;Chief of Staff;M. 伊迪加拉斯 芬特斯 ;44;PA;School of Psychology;Medium;M46018;x
46082;Head of Government;费代里科 蓬斯 瓦伊德斯 ;44;PA;Old General;Very High;M46007;x
