SYR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
528054;Chief of Navy;奥马尔 阿布拉什 ;45;SL;Open Seas Doctrine;Medium;M528054;x
528055;Chief of Navy;伊夫 莫朗达 ;36;SC;Decisive Naval Battle Doctrine;Medium;M528005;x
528056;Chief of Air Force;侯赛因 阿尔-扎伊姆 ;36;PA;Air Superiority Doctrine;Medium;M528047;x
528057;Chief of Air Force;亨利 埃米尔 ;45;SL;Army Aviation Doctrine;Medium;M528007;x
528058;Chief of Air Force;亨利 埃米尔 ;36;SC;Vertical Envelopment Doctrine;Medium;M528007;x
528059;Minister of Armament;阿米尔 穆斯塔法 阿尔-谢哈比 ;40;PA;Laissez Faires Capitalist;High;M528059;x
528060;Head of State;侯赛因 阿尔-扎伊姆 ;49;SL;Resigned Generalissimo;High;M528047;x
528061;Head of State;法齐 阿斯 西卢 ;51;SL;Barking Buffoon;High;M528061;x
528062;Head of State;阿迪卜 阿尔-施舍克里 ;53;SL;Powerhungry Demagogue;High;M528051;x
528063;Head of Government;哈立德 阿尔 阿泽姆 ;48;SL;Flamboyant Tough Guy;High;M528063;x
528064;Head of Government;侯赛因 阿尔-扎伊姆 ;49;SL;Old General;High;M528047;x
528065;Head of Government;穆赫辛 阿尔 巴拉齐 ;49;SL;Silent Workhorse;High;M528065;x
528066;Head of Government;哈森 阿尔-阿塔西 ;49;SL;Happy Amateur;High;M528012;x
528067;Head of Government;纳齐姆 阿尔 库德西 ;50;SL;Ambitious Union Boss;High;M528067;x
528068;Head of Government;哈桑 阿尔 哈基姆 ;51;SL;Smiling Oilman;High;M528068;x
528069;Head of Government;法齐 阿斯 西卢 ;51;SL;Old General;High;M528061;x
528070;Head of Government;阿迪卜 阿尔-施舍克里 ;53;SL;Corporate Suit;High;M528051;x
528071;Chief of Staff;法齐 阿斯 西卢 ;49;SL;School of Defence;Medium;M528061;x
528072;Minister of Armament;哈立德 阿尔 阿泽姆 ;46;SL;Resource Industrialist;Medium;M528063;x
528073;Foreign Minister;穆赫辛 阿尔 巴拉齐 ;39;SL;Apologetic Clerk;High;M528065;x
528074;Minister of Security;纳齐姆 阿尔 库德西 ;43;SL;Silent Lawyer;Medium;M528067;x
528075;Minister of Armament;哈桑 阿尔 哈基姆 ;49;SL;Air to Ground Proponent;Medium;M528068;x
528076;Head of Military Intelligence;萨米 欣纳维 ;44;SL;Logistics Specialist;Medium;M528076;x
528077;Chief of Air Force;哈利德 阿尔 拉齐 ;49;SL;Carpet Bombing Doctrine;Medium;M528077;x
528078;Minister of Armament;米歇尔 阿弗拉克;45;SD;Laissez Faires Capitalist;High;M_SYR_Michel_Aflaq;x
528079;Chief of Staff;法齐 阿尔-卡乌其;47;PA;School of Defence;High;M_SYR_Fawzi_al-Qawuqji;x
528080;Minister of Armament;哈菲兹 阿尔-阿萨德;58;SC;Laissez Faires Capitalist;High;M_SYR_Hafez_al-Assad;x
528081;Chief of Staff;穆斯塔法 特拉斯;61;SC;School of Manoeuvre;High;M_SYR_Mustafa_Tlass;x
528082;Chief of Staff;苏丹 阿尔-阿塔什;37;SL;School of Defence;Very High;M_SYR_Pasha_Atrash;x
528083;Foreign Minister;苏丹 阿尔-阿塔什;39;SL;Great Compromiser;Very High;M_SYR_Pasha_Atrash;x
528084;Foreign Minister;萨拉赫 阿尔-丁 阿尔-比塔尔;56;SL;Ideological Crusader;High;M_SYR_Salah_ad-Din_al-Bitar;x
528085;Head of Government;安通 萨德;47;FA;Naive Optimist;High;M_SYR_Antun_Saadeh;x
528086;Foreign Minister;安通 萨德;47;FA;Biased Intellectual;High;M_SYR_Antun_Saadeh;x
528087;Minister of Security;穆尼尔 阿尔-阿拉尼;40;ML;Crime Fighter;Very high;M_SYR_Muniral-Ajlani;x
528088;Foreign Minister;穆尼尔 阿尔-阿拉尼;47;ML;Ideological Crusader;Very high;M_SYR_Muniral-Ajlani;x
