KOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
578029;Foreign Minister;张勉 ;36;SC;Apologetic Clerk;Medium;M578026;x
578030;Foreign Minister;张都瑛 ;50;SC;Iron Fisted Brute;Medium;M578030;x
578031;Minister of Armament;白汉成 ;51;SC;Laissez Faires Capitalist;Medium;M578031;x
578032;Minister of Armament;沈尚马 ;51;SC;Theoretical Scientist;Medium;M578032;x
578033;Minister of Security;卞荣泰 ;49;SC;Efficient Sociopath;Medium;M578033;x
578034;Minister of Security;申性模 ;52;SC;Crime Fighter;Medium;M578025;x
578035;Head of Military Intelligence;白斗镇 ;49;SC;Political Specialist;Medium;M578028;x
578037;Head of Military Intelligence;沈尚马 ;51;SC;Technical Specialist;Medium;M578032;x
578036;Foreign Minister;张泽相 ;52;SC;Biased Intellectual;Medium;M578027;x
578038;Head of State;朴正熙 ;56;SC;Autocratic Charmer;High;M578023;x
578039;Head of Government;申铉鎬 ;58;SC;Silent Workhorse;Medium;申铉鎬;x
578040;Foreign Minister;丁一权 ;54;SC;Iron Fisted Brute;Medium;丁一权;x
578041;Minister of Armament;朴忠勋 ;48;SC;Strategic Air Proponent;Medium;朴忠勋;x
578042;Minister of Security;李哲承 ;47;SC;Back Stabber;Medium;李哲承;x
578043;Head of Military Intelligence;李汉彬 ;56;SC;Political Specialist;Medium;李汉彬;x
578044;Chief of Air Force;周永福 ;54;SC;Army Aviation Doctrine;Medium;周永福;x
578045;Chief of Army;丁一权 ;46;SC;Decisive Battle Doctrine;Medium;丁一权;x
578046;Foreign Minister;朴东镇 ;46;SC;General Staffer;Medium;朴东镇;x
578047;Chief of Air Force;朴忠勋 ;48;SC;Naval Aviation Doctrine;Medium;unknown;x
578048;Head of State;金大中 ;58;SL;Benevolent Gentleman;Low;金大中;x
578049;Head of Government;金泳三 ;58;SL;Happy Amateur;Medium;金泳三;x
578050;Foreign Minister;金东祚 ;58;SL;Great Compromiser;Medium;unknown;x
578051;Foreign Minister;金溶植 ;48;SL;Biased Intellectual;Medium;金溶植;x
578052;Minister of Security;金大中 ;58;SL;Man of the People;Low;金大中;x
578053;Head of Military Intelligence;金钟泌 ;58;SL;Dismal Enigma;Medium;金钟泌;x
578054;Chief of Staff;金钟泌 ;58;SL;School of Psychology;Medium;金钟泌;x
578055;Chief of Army;金钟泌 ;58;SL;Elastic Defence Doctrine;Medium;金钟泌;x
578056;Chief of Navy;金钟焕 ;56;SC;Open Seas Doctrine;Medium;金钟焕;x
578057;Head of Military Intelligence;金钟焕 ;56;SC;Political Specialist;Medium;金钟焕;x
578058;Head of State;崔圭夏 ;48;SC;Benevolent Gentleman;Medium;崔圭夏;x
578060;Foreign Minister;崔圭夏 ;48;SC;Iron Fisted Brute;Medium;崔圭夏;x
578061;Minister of Armament;黄长烨 ;60;SC;Military Entrepreneur;Very Low;黄长烨;x
578062;Minister of Security;韩德铢 ;58;SL;Man of the People;Medium;韩德铢;x
578078;Chief of Army;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578064;Chief of Staff;徐钟喆 ;57;SC;School of Defence;Medium;unknown;x
578065;Chief of Army;徐钟喆 ;57;SC;Armoured Spearhead Doctrine;Medium;unknown;x
578066;Foreign Minister;韩德铢 ;58;SL;Apologetic Clerk;Medium;韩德铢;x
578067;Chief of Air Force;徐钟喆 ;57;SC;Army Aviation Doctrine;Medium;unknown;x
578068;Head of Government;许政 ;51;SC;Happy Amateur;High;M578068;x
578069;Head of Government;李允荣 ;51;SC;Happy Amateur;High;unknown;x
578070;Chief of Staff;丁一权 ;46;SC;School of Fire Support;Medium;丁一权;x
578071;Head of State;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578072;Head of Government;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578073;Foreign Minister;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578074;Minister of Armament;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578075;Minister of Security;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578076;Head of Military Intelligence;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578077;Chief of Staff;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578079;Chief of Navy;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
578080;Chief of Air Force;美軍政廳;45;PA;Undistinguished Suit;Medium;usa;x
