UKR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
518049;Head of Military Intelligence;瓦西里 西多尔-鲁斯特克 ;36;SD;Naval Intelligence Specialist;Medium;M518049;x
518050;Head of Military Intelligence;索洛姆 舒瓦茨巴德 ;36;SL;Technical Specialist;Medium;M518050;x
518051;Head of Military Intelligence;米哈伊洛 索洛卡 ;36;SL;Industrial Specialist;Medium;M518051;x
518052;Head of Military Intelligence;奥尔济 奥尔兹赫 ;36;SC;Technical Specialist;Medium;M518052;x
518053;Head of Military Intelligence;乌尔班 格里尼奥赫 ;36;NS;Political Specialist;Medium;M518053;x
518054;Head of Military Intelligence;埃尔哈德 克罗格 ;36;NS;Industrial Specialist;Medium;M518054;x
518055;Head of Military Intelligence;瓦西里 马里舒金 ;36;NS;Logistics Specialist;Medium;M518055;x
518056;Chief of Staff;奥尔济 叶夫莫夫 ;36;ST;School of Defence;Medium;M518056;x
518057;Chief of Staff;米哈伊洛 杜达 ;36;SD;School of Fire Support;Medium;M518057;x
518058;Chief of Staff;基里尔 奥斯马克 ;36;SL;School of Psychology;Medium;M518058;x
518059;Chief of Staff;莱尼德 斯克罗帕德斯基 ;36;SC;School of Psychology;Medium;M518059;x
518060;Chief of Staff;康斯坦丁 克罗米亚迪 ;36;NS;School of Manoeuvre;Medium;M518060;x
518061;Chief of Staff;埃贝哈德 金泽尔 ;36;NS;School of Defence;Medium;M518061;x
518062;Chief of Army;尼基塔 赫鲁晓夫 ;36;ST;Static Defence Doctrine;Medium;M518062;x
518063;Chief of Army;罗曼 舒赫维奇 ;36;SD;Guns and Butter Doctrine;Medium;M518063;x
518064;Chief of Army;维尼亚明 鲁温斯基 ;36;SL;Decisive Battle Doctrine;Medium;M518064;x
518065;Chief of Army;帕夫洛 山杜卡 ;36;SC;Elastic Defence Doctrine;Medium;M518065;x
518066;Chief of Army;佩塔 N 卡拉斯诺夫 ;36;SC;Static Defence Doctrine;Medium;M518066;x
518067;Chief of Army;格奥尔吉 斯伦科夫 ;36;NS;Armoured Spearhead Doctrine;Medium;M518067;x
518068;Chief of Navy;塞尔格 格什科夫 ;36;ST;Decisive Naval Battle Doctrine;Medium;M518068;x
518069;Chief of Navy;戈洛亚 斯特茨科 ;36;SD;Open Seas Doctrine;Medium;M518069;x
518070;Chief of Navy;雅弗兰 Z 杜欣 ;36;SL;Indirect Approach Doctrine;Medium;M518070;x
518071;Chief of Navy;弗拉迪米尔 皮利彭科 ;36;SC;Base Control Doctrine;Medium;M518071;x
518072;Chief of Navy;沃尔夫 冯 特罗萨 ;36;NS;Power Projection Doctrine;Medium;M518072;x
518073;Chief of Air Force;雅弗兰 Z 杜欣 ;36;ST;Naval Aviation Doctrine;Medium;M518070;x
518074;Chief of Air Force;佩塔 菲顿-波塔瓦 ;36;SD;Carpet Bombing Doctrine;Medium;M518074;x
518075;Chief of Air Force;雅弗胡斯汀 舍范 ;36;SL;Army Aviation Doctrine;Medium;M518075;x
518076;Chief of Air Force;迪米特里 麦隆 ;36;SC;Vertical Envelopment Doctrine;Medium;M518076;x
518077;Chief of Air Force;维克托 马尔特瑟夫 ;36;NS;Air Superiority Doctrine;Medium;M518077;x
518078;Chief of Staff;佩特罗 亚琴科 ;41;PA;School of Defence;High;M_UKR_Petro_Dyachenko;x
518079;Chief of Staff;米哈伊尔 奥梅利亚诺维奇－帕夫连科 ;37;PA;School of Manoeuvre;Very high;M_UKR_Mykhailo_O.P;x
518080;Chief of Army;佩特罗 亚琴科 ;45;PA;Decisive Battle Doctrine;High;M_UKR_Petro_Dyachenko;x
518081;Chief of Staff;瓦西里 捷潘诺维奇 库克 ;48;SC;School of Psychology;High;M_UKR_Vasyl_Kuk;x
518082;Chief of Army;瓦西里 捷潘诺维奇 库克 ;48;SC;Elastic Defence Doctrine;High;M_UKR_Vasyl_Kuk;x
518083;Foreign Minister;瓦西里 捷潘诺维奇 库克 ;48;SC;Biased Intellectual;High;M_UKR_Vasyl_Kuk;x
518084;Minister of Security;米科拉 列别德 ;41;FA;Back Stabber;High;M518023;x
