RSI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
508033;Chief of Air Force;阿尔伯特 凯塞林 ;42;NS;Army Aviation Doctrine;Very High;M508031;x
508034;Chief of Army;海因里希 戈特弗里德 冯 菲廷霍夫-谢尔 ;44;FA;Armoured Spearhead Doctrine;High;M508034;x
508035;Minister of Armament;鲁道夫 格拉齐亚尼 ;36;FA;Infantry Proponent;High;M508008;x
50803650;Foreign Minister;奥古斯托 德 玛萨尼克;44;FA;Great Compromiser;High;M_ITA_Augusto_De_Marsanich;x
50803751;Head of Government;奥古斯托 德 玛萨尼克;55;FA;Silent Workhorse;High;M_ITA_Augusto_De_Marsanich;x
50803852;Minister of Security;希奥尔希奥 阿尔米兰特;46;NS;Back Stabber;High;M_ITA_Giorgio_Almirante;x
50803953;Foreign Minister;希奥尔希奥 阿尔米兰特;45;NS;The Cloak N Dagger Schemer;High;M_ITA_Giorgio_Almirante;x
50804054;Minister of Armament;阿图罗 米凯利尼;48;FA;Laissez Faires Capitalist;High;M_ITA_Arturo_Michelini;x
50804055;Minister of Security;皮诺 若迪;49;FA;Prince of Terror;High;M_RSI_PinoRauti;x
50804056;Chief of Staff;皮诺 若迪;48;FA;School of Defence;High;M_RSI_PinoRauti;M_RSI_PinoRauti
50804057;Head of Government;皮诺 若迪;54;FA;Corporate Suit;High;M_RSI_PinoRauti;x
50804058;Minister of Security;卡洛 斯科萨;43;FA;Crime Fighter;Very high;M_RSI_CarloScorza;x
50804059;Chief of Staff;卡洛 斯科萨;45;FA;School of Mass Combat;Very high;M_RSI_CarloScorza;x
50804060;Head of Military Intelligence;奥古斯托 利韦拉尼;40;PA;Logistics Specialist;Medium;M_RSI_AugustoLiverani;x
50804061;Minister of Security;安东尼诺 秦嘠立-卡萨诺瓦;42;FA;Silent Lawyer;High;M_RSI_AntoninT.Casanova;x
50804062;Foreign Minister;皮诺 罗穆阿尔迪;47;FA;Iron Fisted Brute;High;M_RSI_Pino_Romualdi;x
50804063;Minister of Security;皮诺 罗穆阿尔迪;48;FA;Back Stabber;High;M_RSI_Pino_Romualdi;x
50804064;Head of State;奥古斯托 德 玛萨尼克;55;FA;Stern Imperialist;High;M_ITA_Augusto_De_Marsanich;x
50804065;Head of Government;皮诺 罗穆阿尔迪;54;FA;Backroom Backstabber;High;M_RSI_Pino_Romualdi;x
50804066;Foreign Minister;斯特凡诺 德尔 车阿尔;57;NS;General Staffer;Medium;M_RSI_StefanoD.Chiaie;x
50804067;Minister of Security;斯特凡诺 德尔 车阿尔;59;NS;Crooked Kleptocrat;Medium;M_RSI_StefanoD.Chiaie;x
50804068;Minister of Armament;尼古拉 伯巴兹;44;LWR;Laissez Faires Capitalist;High;M_RSI_NicolaBombacci;x
50804069;Head of Government;尼古拉 伯巴兹;36;LWR;Ambitious Union Boss;High;M_RSI_NicolaBombacci;x
50804070;Foreign Minister;尼古拉 伯巴兹;36;LWR;Biased Intellectual;High;M_RSI_NicolaBombacci;x
50804071;Head of State;帕尔米罗 陶里亚蒂 ;36;LWR;Powerhungry Demagogue;High;Togliatti_Palmiro_ita;x
50804072;Head of Government;路易吉 隆哥 ;36;LWR;Political Protege;High;Longo_Luigi_ita;x
50804073;Foreign Minister;帕尔米罗 陶里亚蒂 ;36;LE;Ideological Crusader;High;Togliatti_Palmiro_ita;x
50804074;Minister of Armament;维托里奥 维达利 ;36;LE;Infantry Proponent;High;Vidali_Vittorio_ita;x
50804075;Minister of Armament;毛罗 斯科奇马罗 ;41;LE;Air to Sea Proponent;High;Scoccimarro_Mauro_ita;x
50804076;Minister of Armament;安东尼奥 佩森蒂 ;45;LWR;Resource Industrialist;High;Pesenti_Antonio_ita;x
50804077;Minister of Security;帕尔米罗 陶里亚蒂 ;41;LWR;Crime Fighter;High;Togliatti_Palmiro_ita;x
50804078;Minister of Security;朱利安 苏加萨戈伊蒂亚 门迭塔 ;43;LE;Efficient Sociopath;High;M3107;x
50804079;Head of Military Intelligence;吉塞佩 迪 维托里奥 ;36;LE;Political Specialist;High;Vittorio_Giuseppe_di_ita;x
50804080;Head of Military Intelligence;帕尔米罗 陶里亚蒂 ;41;LWR;Technical Specialist;High;Togliatti_Palmiro_ita;x
50804081;Head of Military Intelligence;安东尼奥 佩森蒂 ;44;LWR;Technical Specialist;High;Pesenti_Antonio_ita;x
50804082;Chief of Staff;路易吉 隆哥 ;36;LWR;School of Mass Combat;High;Longo_Luigi_ita;x
50804083;Chief of Army;贾恩卡洛 巴叶塔 ;36;LWR;Guns and Butter Doctrine;High;Pajetta_Giancarlo_ita;x
50804084;Minister of Armament;多梅尼科 佩列格里尼 葛阿皮诺;39;FA;Administrative Genius;High;M_RSI_DomenicoP_Giampietro;x
50804085;Minister of Security;多梅尼科 佩列格里尼 葛阿皮诺;43;FA;Crime Fighter;High;M_RSI_DomenicoP_Giampietro;x
50804086;Chief of Staff;多梅尼科 佩列格里尼 葛阿皮诺;45;FA;School of Psychology;High;M_RSI_DomenicoP_Giampietro;x
50804087;Minister of Armament;朱塞佩 培沃里;43;PA;Resource Industrialist;Medium;M_RSI_Giuseppepeverelli;x
50804088;Chief of Navy;C.F.费鲁乔 费里尼;43;FA;Base Control Doctrine;Medium;M_RSI_C.F.FerruccioFerrini;x
50804089;Chief of Staff;雷纳托 里奇;38;FA;School of Mass Combat;High;M_RSI_RenatoRicci;x
50804090;Chief of Army;雷纳托 里奇;45;FA;Guns and Butter Doctrine;High;M_RSI_RenatoRicci;x
50804091;Minister of Security;雷纳托 里奇;46;FA;Efficient Sociopath;High;M_RSI_RenatoRicci;x
50804092;Minister of Security;乔瓦尼 庚笛勒;36;FA;Crime Fighter;High;M_ITA_GiovaniGentile;x
