RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4173;Chief of Staff;皮欧特 克拉斯诺夫;30;PA;School of Manoeuvre;Medium;M_RUS_Pyotr_Krasnov;x
4174;Chief of Army;皮欧特 克拉斯诺夫;39;PA;Guns and Butter Doctrine;Medium;M_RUS_Pyotr_Krasnov;x
4175;Chief of Staff;安德烈 施克罗;30;PA;School of Psychology;Medium;M_RUS_Andrei_Shkuro;x
4176;Chief of Army;安德烈 施克罗;30;PA;Decisive Battle Doctrine;Medium;M_RUS_Andrei_Shkuro;x
4177;Minister of Armament;米哈伊尔 卡拉什尼科夫;43;SC;Infantry Proponent;Very high;M_RUS_M.Kalashnikov;x
4178;Chief of Staff;米哈伊尔 卡拉什尼科夫;47;SC;School of Defence;Very high;M_RUS_M.Kalashnikov;x
4179;Foreign Minister;安德烈 弗拉索夫 ;44;NS;General Staffer;Very high;M4090;x
4180;Chief of Staff;帕维尔 柏门德-奥瓦洛夫;36;FA;School of Psychology;Medium;M_RUS_PavelBermondt;x
4181;Chief of Army;帕维尔 柏门德-奥瓦洛夫;38;FA;Static Defence Doctrine;Medium;M_RUS_PavelBermondt;x
4182;Minister of Security;帕维尔 柏门德-奥瓦洛夫;42;FA;Back Stabber;Medium;M_RUS_PavelBermondt;x
4183;Foreign Minister;米哈伊尔 捷列先科;36;SC;The Cloak N Dagger Schemer;high;M_RUS_Mikhail_Ivanovich_Tereshchenko;x
4184;Minister of Armament;米哈伊尔 捷列先科;36;SC;Military Entrepreneur;high;M_RUS_Mikhail_Ivanovich_Tereshchenko;x
4185;Chief of Staff;伯迪克 A. 阿尔希波夫;41;FA;School of Defence;Medium;M_RUS_Budykho_A_Efimovich;x
4186;Minister of Security;伊凡 阿莱克西维奇;43;FA;Man of the People;high;M_RUS_Ivan_Alekseevich;x
4187;Chief of Navy;伊凡 阿莱克西维奇;41;FA;Indirect Approach Doctrine;high;M_RUS_Ivan_Alekseevich;x
4188;Chief of Staff;玛丽西金 V. 费多罗维奇;39;PA;School of Psychology;high;M_RUS_Malyshkin_Vasilii_Fedorovich;x
4189;Chief of Staff;波格丹诺夫 米哈伊尔 瓦西列维奇;42;PA;School of Fire Support;Medium;M_RUS_Bogdanov_M_Vasilevich;x
4190;Chief of Staff;图金 费多尔 伊万诺维奇;41;PA;School of Manoeuvre;high;M_RUS_Trukhin_F_Ivanovich;x
4191;Chief of Staff;扎昆 德米特 诶佛莫维奇;41;FA;School of Fire Support;high;M_RUS_Zakutnyi_D_Efimovich;x
4192;Chief of Army;扎昆 德米特 诶佛莫维奇;45;PA;Armoured Spearhead Doctrine;high;M_RUS_Trukhin_F_Ivanovich;x
4193;Foreign Minister;阿那斯塔斯 万夏茨基;39;NS;Iron Fisted Brute;high;M_RUS_Anastase_Vonsiatsky;x
4194;Chief of Staff;阿那斯塔斯 万夏茨基;44;NS;School of Fire Support;high;M_RUS_Anastase_Vonsiatsky;x
4195;Head of Government;阿那斯塔斯 万夏茨基;46;NS;Political Protege;high;M_RUS_Anastase_Vonsiatsky;x
4196;Minister of Security;谢尔盖 斯曼斯基;39;PA;Silent Lawyer;high;M_RUS_Simanskiy;x
4197;Foreign Minister;伊拉克利 特洛特里;37;LE;Biased Intellectual;high;M_RUS_Irakli Tsereteli;x
4198;Head of Government;伊拉克利 特洛特里;40;LE;Silent Workhorse;high;M_RUS_Irakli Tsereteli;x
4199;Foreign Minister;阿纳托利 琴科;60;SL;Ideological Crusader;high;M_RUS_AnatolyMarchenko;x
4200;Minister of Armament;安德烈 泰科诺夫;38;SD;Theoretical Scientist;high;M_RUS_AndreyTychonoff;x
4201;Chief of Staff;格奥尔基 尼可洛芬奇 Zhilenkov;43;FA;School of Psychology;high;M_RUS_GeorgiZhilenkov;x
4202;Foreign Minister;鲍里斯 利奥 波罗佐;42;NS;Biased Intellectual;Medium;M_RUS_BorisBrasol;x
4203;Chief of Air Force;纳塔利娅 梅克林;48;LWR;Air Superiority Doctrine;high;M_RUS_ NatalyaMeklin;x
4204;Chief of Air Force;阿纳托利 瓦西里维奇 里皮德维斯基;42;LE;Carpet Bombing Doctrine;high;M_RUS_AnatolyLyapidevsky;x
4205;Minister of Armament;阿纳托利 瓦西里维奇 里皮德维斯基;44;LE;Air to Ground Proponent;high;M_RUS_AnatolyLyapidevsky;x
4206;Head of State;利昂 托洛茨基;30;LE;Stern Imperialist;Very high;M_RUS_Leon_Trosky;x
4207;Head of Government;利昂 托洛茨基;30;LE;Ambitious Union Boss;Very high;M_RUS_Leon_Trosky;x
4208;Head of Military Intelligence;利昂 托洛茨基;33;LE;Political Specialist;Very high;M_RUS_Leon_Trosky;x
4209;Chief of Staff;格奥尔吉 K. 朱可夫;46;PA;School of Manoeuvre;Medium;M_RUS_GeorgyZhukov;x
4210;Chief of Navy;霍夫汉内斯 史蒂芬尼 伊萨科夫;43;LE;Indirect Approach Doctrine;high;M_RUS_HovhannesStepaniIsakov;x
4211;Chief of Staff;霍夫汉内斯 史蒂芬尼 伊萨科夫;44;LE;Static Defence Doctrine;high;M_RUS_HovhannesStepaniIsakov;x
4212;Chief of Staff;康斯坦丁 罗科索夫斯基;35;LE;School of Manoeuvre;high;M_RUS_KonstantinRokossovsky;x
4213;Chief of Army;康斯坦丁 罗科索夫斯基;39;LE;Decisive Battle Doctrine;high;M_RUS_KonstantinRokossovsky;x
4214;Minister of Armament;格奥尔吉 K. 朱可夫;48;PA;Military Entrepreneur;Medium;M_RUS_GeorgyZhukov;x
4215;Chief of Staff;李奥尼德 伊里奇 布里兹涅夫;45;LE;School of Defence;high;M_SOV_LeonidBrezhnev;x
4216;Head of Government;李奥尼德 伊里奇 布里兹涅夫;52;LE;Corporate Suit;high;M_SOV_LeonidBrezhnev;x
4217;Chief of Navy;尼古拉 格罗斯莫维奇 库兹涅佐夫;40;LE;Open Seas Doctrine;high;M_RUS_NikolayGerasimovichKuznetsov;x
4218;Head of State;尼古拉 亚历山德罗维奇 布尔加宁;39;LE;Benevolent Gentleman;high;M_RUS_Nikolay AlexandrovichBulganin;x
4219;Minister of Armament;米哈伊尔 格罗莫夫;37;LWR;Air to Ground Proponent;high;M_RUS_MikhailGromov;x
4220;Chief of Air Force;米哈伊尔 格罗莫夫;41;LWR;Army Aviation Doctrine;high;M_RUS_MikhailGromov;x
4221;Minister of Armament;迈特威 凡诺维奇 斯珂培莱夫;36;LWR;Resource Industrialist;Medium;M_RUS_MatveyIvanovichSkobelev;x
4222;Minister of Armament;波克雷什金 亚历山大 凡诺维奇;38;LE;Military Entrepreneur;high;M_RUS_PokryshkinAlexanderIvanovich;x
4223;Chief of Air Force;波克雷什金 亚历山大 凡诺维奇;39;LE;Carpet Bombing Doctrine;high;M_RUS_PokryshkinAlexanderIvanovich;x
4224;Minister of Armament;瓦伦蒂娜 格里佐杜波娃;45;LE;Air Superiority Proponent;high;M_RUS_ValentinaGrizodubova;x
4225;Minister of Armament;韦切斯拉夫 谢尔盖耶维奇 谢多夫;38;LWR;Laissez Faires Capitalist;Medium;M_RUS_VecheslavSergeyevichSedov;x
4226;Chief of Staff;维克托 波拉斯;36;LWR;School of Manoeuvre;Medium;M_RUS_ViktorBelash;x
4227;Head of Military Intelligence;维克托 切尔诺夫;36;LWR;Political Specialist;high;M_RUS_ViktorChernov;x
4228;Minister of Security;维克托 切尔诺夫;36;LWR;Crime Fighter;high;M_RUS_ViktorChernov;x
4229;Minister of Security;康斯坦丁 乌斯季诺维奇 契尔年科;47;LE;Silent Lawyer;high;M_RUS_Konstantin_UstinovichChernenko;x
4230;Chief of Staff;康斯坦丁 乌斯季诺维奇 契尔年科;48;LE;School of Fire Support;high;M_RUS_Konstantin_UstinovichChernenko;x
4231;Chief of Staff;阿列克谢 尼古拉耶维奇 柯西金;38;LWR;School of Mass Combat;high;M_RUS_AlexeiNikolayevichKosygin;x
4232;Minister of Armament;阿列克谢 尼古拉耶维奇 柯西金;40;LWR;Administrative Genius;high;M_RUS_AlexeiNikolayevichKosygin;x
4233;Chief of Staff;列弗 尼古拉耶维奇 扎多夫;36;LWR;School of Psychology;Low;M_RUS_LevNikolaevichZadov;x
4234;Foreign Minister;马克西姆 利特维诺夫;36;LE;Biased Intellectual;Medium;M_RUS_Maxim_Litvinov;x
4235;Foreign Minister;格里戈里 耶斯维奇 泽诺维耶;36;LE;Ideological Crusader;high;M_RUS_GrigoryZinoviev;x
4236;Head of Government;格里戈里 耶斯维奇 泽诺维耶;36;LE;Political Protege;high;M_RUS_GrigoryZinoviev;x
4237;Minister of Security;瓦季姆 鲁德涅夫;30;LWR;Silent Lawyer;high;M_RUS_VadimRudnev;x
4238;Foreign Minister;瓦季姆 鲁德涅夫;36;LWR;Apologetic Clerk;high;M_RUS_VadimRudnev;x
4239;Chief of Staff;瓦西里 索科洛夫斯基;39;LE;School of Manoeuvre;high;M_RUS_VasilySokolovsky;x
4240;Chief of Army;瓦西里 索科洛夫斯基;43;LE;Armoured Spearhead Doctrine;high;M_RUS_VasilySokolovsky;x
4241;Chief of Staff;亚历山大 I. 叶戈罗夫;35;LE;School of Fire Support;high;M_RUS_AlexanderYegorov;x
4242;Chief of Army;亚历山大 I. 叶戈罗夫;36;LE;Guns and Butter Doctrine;high;M_RUS_AlexanderYegorov;x
4243;Chief of Navy;谢尔盖 G. 戈尔什科夫;45;LE;Indirect Approach Doctrine;High;M_RUS_SergeyGGorshkov;x
