MEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
36086;Head of Military Intelligence;拉萨罗 卡德纳斯 ;38;SD;Naval Intelligence Specialist;High;M36001;x
36087;Head of Military Intelligence;曼努埃尔 阿维拉 卡马乔 ;40;SD;Political Specialist;High;M36087;x
36088;Head of Military Intelligence;恩里克 埃斯特拉达 雷诺索 ;46;SD;Dismal Enigma;High;M36004;x
36089;Head of Military Intelligence;胡安 安德鲁 阿拉马扎 ;40;SC;Logistics Specialist;Medium;M36054;x
36090;Head of Military Intelligence;路易斯 布斯塔曼特 贝尼特斯 ;46;SC;Naval Intelligence Specialist;High;M36035;x
36091;Head of Military Intelligence;维克托 穆尼奥斯 卡德纳斯 ;40;PA;Industrial Specialist;Medium;M36091;x
36092;Head of Military Intelligence;耶苏 加尔扎 西勒 ;46;PA;Logistics Specialist;Medium;M36016;x
36093;Head of Military Intelligence;曼努埃尔 帕拉福斯 ;40;LE;Dismal Enigma;Low;M36026;x
36094;Head of Military Intelligence;米格尔 科拉佐 ;46;LE;Political Specialist;Low;M36094;x
36095;Chief of Staff;巴勃罗 基罗加 埃斯卡米罗 ;36;SD;School of Mass Combat;Medium;M36008;x
36096;Chief of Staff;古斯塔沃 萨利纳斯 卡米纳 ;40;SD;School of Defence;Medium;M36010;x
36098;Chief of Staff;赫克托 麦克薛罗 ;40;SC;School of Manoeuvre;Medium;M36009;x
36100;Chief of Staff;热苏斯 巴列斯特罗斯 米兰达 ;40;FA;School of Manoeuvre;Low;M36100;x
36101;Chief of Staff;恩里克 C 德尔 里奥 ;46;PA;School of Psychology;Low;M36017;x
36102;Chief of Staff;奥古斯丁 门多萨 蔡斯 ;40;LE;School of Defence;High;M36102;x
36103;Chief of Staff;曼努埃尔 帕拉福斯 ;46;LE;School of Fire Support;Low;M36026;x
36104;Chief of Army;巴勃罗 M 瓦伦祖埃拉 ;38;SD;Elastic Defence Doctrine;Medium;M36104;x
36105;Chief of Army;弗朗西斯科 U 贝纳维德 ;40;SD;Armoured Spearhead Doctrine;Medium;M36005;x
36107;Chief of Army;吉尔贝托 利蒙 马克斯 ;40;SC;Static Defence Doctrine;Medium;M36106;x
36109;Chief of Army;普卢塔科 E 卡勒 ;40;PA;Static Defence Doctrine;Low;M36006;x
36110;Chief of Army;切萨尔 帕拉达 恩里克斯 ;46;PA;Elastic Defence Doctrine;Medium;M36110;x
36111;Chief of Army;马蒂亚斯 桑托斯 拉莫斯 ;40;LE;Guns and Butter Doctrine;Medium;M36028;x
36112;Chief of Army;米格尔 科拉佐 ;46;LE;Armoured Spearhead Doctrine;High;M36094;x
36113;Chief of Navy;埃里韦托 亚拉 科罗纳 ;38;SD;Base Control Doctrine;High;M36029;x
36114;Chief of Navy;巴斯克斯 德尔 梅尔卡多 ;46;SD;Power Projection Doctrine;High;M36114;x
36115;Chief of Navy;恩里克 帕尼齐奥 瓦尔加斯 ;40;SC;Open Seas Doctrine;High;M36115;x
36116;Chief of Navy;维克托 塔皮亚 布里奥尼斯 ;40;PA;Open Seas Doctrine;Low;M36116;x
36117;Chief of Navy;路易斯 海勒姆 托莱多 ;46;PA;Open Seas Doctrine;Low;M36019;x
36119;Chief of Air Force;阿尔贝托 萨利纳斯 卡拉萨 ;38;SD;Army Aviation Doctrine;Medium;M36119;x
36121;Chief of Air Force;恩里克 帕尼齐奥 瓦尔加斯 ;40;SC;Vertical Envelopment Doctrine;High;M36115;x
36122;Chief of Air Force;埃弗拉因 罗德里格斯 贝里奥斯 ;40;FA;Air Superiority Doctrine;Medium;M36122;x
36123;Chief of Air Force;朱利奥 埃尔南斯 加西亚 ;46;PA;Carpet Bombing Doctrine;Medium;M36123;x
36124;Chief of Air Force;阿古斯丁 奥拉切亚 阿维莱斯 ;40;LE;Vertical Envelopment Doctrine;Medium;M36030;x
36020;Chief of Air Force;耶苏 加尔扎 西勒 ;36;FA;Carpet Bombing Doctrine;Medium;M36016;x
36125;Head of State;阿道夫 鲁伊斯 科蒂内斯 ;52;SD;Insignificant Layman;High;M36065;x
36126;Head of State;弗洛伦蒂诺 桑塔纳 ;52;SC;Barking Buffoon;High;M36067;x
36127;Head of Government;阿道夫 鲁伊斯 科蒂内斯 ;52;SD;Political Protege;High;M36065;x
36128;Head of Government;弗洛伦蒂诺 桑塔纳 ;52;SC;Smiling Oilman;High;M36067;x
36129;Foreign Minister;路易斯 帕迪利亚 内尔沃 ;52;SD;Iron Fisted Brute;Medium;M36129;x
36130;Foreign Minister;路易斯 布斯塔曼特 贝尼特斯 ;52;SC;General Staffer;Medium;M36035;x
36131;Minister of Armament;曼努埃尔 特略 鲍尔劳德 ;52;SD;Military Entrepreneur;Medium;M36131;x
36132;Minister of Armament;安东尼奥 戈梅 罗夫莱多 ;52;SC;Battle Fleet Proponent;Medium;M36132;x
36133;Minister of Security;奥森 华雷斯 布朗 ;52;SD;Crime Fighter;Medium;M36133;x
36134;Head of State;尼科尔 罗德次 卡拉斯科;36;NS;Resigned Generalissimo;Medium;Nicolas_Rodriguez_Carrasco;x
36135;Head of Government;尼科尔 罗德次 卡拉斯科;36;NS;Old General;Medium;Nicolas_Rodriguez_Carrasco;x
36136;Foreign Minister;萨尔瓦多 阿瓦斯卡尔 因方特;36;NS;Ideological Crusader;Medium;Salvador_Abascal;x
36137;Foreign Minister;曼纽尔 托雷斯 布埃诺;36;FA;Apologetic Clerk;Medium;unknown;x
36138;Foreign Minister;路易斯 考尔德 维加;36;SC;Ideological Crusader;Medium;Luis_Calderon_Vega;x
36139;Head of State;阿维拉多 上犹;30;SD;Barking Buffoon;Medium;M36139;x
36140;Head of Government;阿维拉多 上犹;30;SD;Political Protege;Medium;M36139;x
36141;Minister of Security;汤姆 加里多 卡纳波;33;FA;Prince of Terror;Medium;M_MEX_TomasG.Canabal;x
36142;Chief of Staff;汤姆 加里多 卡纳波;34;FA;School of Psychology;Medium;M_MEX_TomasG.Canabal;x
36143;Head of Government;汤姆 加里多 卡纳波;39;FA;Weary Stiffneck;Medium;M_MEX_TomasG.Canabal;x
