NZL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
55084;Chief of Army;N 威尔 ;46;ML;Guns and Butter Doctrine;High;M55079;x
55085;Chief of Navy;H E 霍兰 ;38;ML;Open Seas Doctrine;High;M55085;x
55086;Chief of Navy;W E 帕里 ;40;ML;Indirect Approach Doctrine;High;M55052;x
55087;Chief of Navy;弗雷德里克 菲尔德 爵士 ;42;ML;Decisive Naval Battle Doctrine;High;M55057;x
55088;Chief of Navy;W H 斯特拉顿 ;45;ML;Power Projection Doctrine;High;M55056;x
55089;Chief of Navy;G W G 辛普森 ;45;ML;Base Control Doctrine;High;M55089;x
55090;Chief of Air Force;W H 斯特拉顿 ;39;ML;Army Aviation Doctrine;High;M55056;x
55091;Chief of Air Force;H D 麦格雷戈 ;41;ML;Vertical Envelopment Doctrine;High;M55091;x
55092;Chief of Air Force;L M 伊斯特 ;43;ML;Naval Aviation Doctrine;High;M55050;x
55093;Chief of Air Force;戈登 H 斯蒂格 ;44;ML;Air Superiority Doctrine;High;M55093;x
55094;Chief of Air Force;A 德特罗特 内维尔 ;45;ML;Carpet Bombing Doctrine;High;M55055;x
55011;Head of State;T C A 希斯罗普 ;36;PA;Benevolent Gentleman;High;M55011;x
55012;Head of Government;A E 戴维 ;36;PA;Happy Amateur;NA;M55012;x
55013;Foreign Minister;A E 戴维 ;36;PA;Ideological Crusader;Very High;M55012;x
55014;Minister of Armament;A J 斯塔尔沃思 ;36;PA;Air to Sea Proponent;High;M55014;x
55015;Minister of Security;W A 维奇-米尔恩 ;36;PA;Prince of Terror;High;M55015;x
55016;Head of Military Intelligence;亚瑟 道斯 ;36;PA;Naval Intelligence Specialist;High;M55016;x
55017;Chief of Staff;西摩 德威特 ;36;PA;School of Manoeuvre;High;M55017;x
55018;Chief of Army;西摩 德威特 ;36;PA;Elastic Defence Doctrine;High;M55017;x
55019;Chief of Navy;特雷弗 汉德里 ;36;PA;Base Control Doctrine;High;M55019;x
55020;Chief of Air Force;玛格丽特 威廷顿 ;36;PA;Vertical Envelopment Doctrine;High;M55020;x
55021;Head of State;汤姆 斯坦利 ;36;LE;Powerhungry Demagogue;High;M55021;x
55022;Head of Government;维克托 威尔考克斯 ;36;LE;Happy Amateur;High;M55022;x
55023;Foreign Minister;维克托 威尔考克斯 ;36;LE;Biased Intellectual;Very High;M55022;x
55024;Minister of Armament;西德 斯科特 ;36;LWR;Theoretical Scientist;High;M55024;x
55025;Minister of Security;戈登 沃森 ;36;ST;Efficient Sociopath;High;M55025;x
55026;Head of Military Intelligence;弗雷德里克 弗里曼 ;36;LWR;Technical Specialist;High;M55026;x
55027;Chief of Staff;亨利 科尔索普 ;36;ST;School of Psychology;High;M55027;x
55028;Chief of Army;戈登 沃森 ;36;ST;Guns and Butter Doctrine;High;M55025;x
55029;Chief of Navy;埃里克 普伦德加斯特 ;36;LE;Decisive Naval Battle Doctrine;High;M55029;x
55030;Chief of Air Force;L P 彼得森 ;36;ST;Air Superiority Doctrine;High;M55030;x
55095;Head of State;诺里男爵 威洛比 ;52;ML;Weary Stiffneck;High;M55095;x
55096;Head of State;诺里男爵 威洛比 ;52;SD;Weary Stiffneck;High;M55095;x
55097;Head of Government;沃尔特 纳什 ;47;SD;Happy Amateur;High;M55004;x
55098;Foreign Minister;弗雷德里克 W 道伊吉 ;49;SC;Biased Intellectual;Very High;M55098;x
55099;Foreign Minister;托马斯 C 韦伯 ;51;SC;Iron Fisted Brute;Very High;M55099;x
55100;Foreign Minister;阿诺德 H 诺德梅耶 ;50;SD;The Cloak N Dagger Schemer;Very High;M55100;x
55101;Minister of Security;托马斯 L 麦克唐纳 ;51;SC;Efficient Sociopath;Medium;M55101;x
