MAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
58047;Head of Military Intelligence;Ã·À¼·¼ ;45;PA;Naval Intelligence Specialist;Very Low;M58047;x
58048;Head of Military Intelligence;³£ËÙÁ¦;46;PA;Industrial Specialist;Very High;M58048;x
58049;Chief of Staff;ĞÏÊ¿Á® ;37;FA;School of Psychology;Medium;M58049;x
58050;Chief of Staff;´¨µº·¼×Ó ;38;FA;School of Mass Combat;Medium;M58006;x
58051;Chief of Staff;ÖĞµº½ñ³¯Îá ;41;NS;School of Defence;Medium;M58051;x
58052;Chief of Staff;í¶¹ÈÁ®½é ;43;NS;School of Psychology;Medium;M58052;x
58053;Chief of Staff;ÒÁ¸ê¶û ÇĞ¶ûÅµ¿Æ·ò ;45;PA;School of Defence;Very Low;M58053;x
58054;Chief of Staff;ÕÔÇïº½ ;46;PA;School of Mass Combat;Very High;M58054;x
58055;Chief of Army;ĞÏÊ¿Á® ;37;FA;Elastic Defence Doctrine;Medium;M58049;x
58056;Chief of Army;´¨µº·¼×Ó ;38;FA;Guns and Butter Doctrine;Medium;M58006;x
58057;Chief of Army;ÖĞµº½ñ³¯Îá ;41;NS;Elastic Defence Doctrine;Medium;M58051;x
58058;Chief of Army;í¶¹ÈÁ®½é ;43;NS;Guns and Butter Doctrine;Medium;M58052;x
58059;Chief of Army;Âü¸¥À×µÂ ·ë ÇĞ¶ûÎ¤ÁÖ ;45;PA;Armoured Spearhead Doctrine;Very Low;M58059;x
58060;Chief of Army;äßÒÇ ;46;PA;Guns and Butter Doctrine;Very High;M58001;x
58061;Chief of Navy;Ï¸¹È×Ê·¼ ;37;FA;Decisive Naval Battle Doctrine;Medium;M58061;x
58062;Chief of Navy;ÒüìñÇ¬ ;38;FA;Base Control Doctrine;Medium;M58062;x
58063;Chief of Navy;¸Ô¾´´¿ ;41;NS;Indirect Approach Doctrine;Medium;M58063;x
58064;Chief of Navy;Ö¯ÌïÍò ;43;NS;Base Control Doctrine;Medium;M58064;x
58065;Chief of Navy;ÃÅÒ°ÖØ¾ÅÀÉ ;44;NS;Power Projection Doctrine;Medium;M58065;x
58066;Chief of Navy;¹ùÌ©ì÷ ;45;PA;Power Projection Doctrine;Very Low;M58066;x
58067;Chief of Navy;ÖìÕ×İ· ;46;PA;Open Seas Doctrine;Very High;M58020;x
58068;Chief of Air Force;í¶Ò°ÓÂÈı ;37;FA;Air Superiority Doctrine;Medium;M58068;x
58069;Chief of Air Force;ÖĞµºĞÅ¶ş ;38;FA;Naval Aviation Doctrine;Medium;M58069;x
58070;Chief of Air Force;¹¬ÆéÃ÷ ;41;NS;Army Aviation Doctrine;Medium;M58070;x
58071;Chief of Air Force;ÒÁÌÙÊöÊ· ;43;NS;Carpet Bombing Doctrine;Medium;M58071;x
58072;Chief of Air Force;ÃÅÒ°ÖØ¾ÅÀÉ ;44;NS;Air Superiority Doctrine;Medium;M58065;x
58073;Chief of Air Force;³Â¹‚ ;45;PA;Naval Aviation Doctrine;Very Low;M58019;x
58074;Chief of Air Force;²Ü±üÉ­ ;46;PA;Army Aviation Doctrine;Very High;M58074;x
