LAT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
27065;Minister of Armament;耶尼斯 卡明斯基斯 ;39;FA;Resource Industrialist;Medium;M27041;x
27066;Minister of Armament;阿尔弗雷斯 瓦尔德马尼斯 ;40;FA;Administrative Genius;Medium;M27038;x
27068;Minister of Armament;彼得鲁斯 阿普斯伽恩斯 ;36;SC;Infantry Proponent;Medium;M27068;x
27069;Minister of Armament;埃德加斯 安德松斯 ;45;SC;Military Entrepreneur;Medium;M27014;x
27070;Minister of Armament;罗伯茨 丹比蒂斯 ;36;LE;Resource Industrialist;Medium;M27070;x
27071;Minister of Armament;卡尔利斯 卡尔森斯 ;40;LE;Military Entrepreneur;Medium;M27024;x
27072;Minister of Armament;亚历山德斯 比勒 ;45;ST;Laissez Faires Capitalist;Medium;M27072;x
27073;Minister of Armament;阿诺德斯 塔巴克斯 ;46;ST;Resource Industrialist;Medium;M27073;x
27074;Minister of Security;阿尔弗雷斯 瓦尔德马尼斯 ;41;NS;Crime Fighter;Medium;M27038;x
27075;Minister of Security;特奥多尔斯 兹韦尼亚克斯 ;41;NS;Efficient Sociopath;Low;M27075;x
27076;Minister of Security;阿尔贝茨 克维耶西斯 ;43;NS;Man of the People;Low;M27001;x
27077;Minister of Security;埃尔马尼斯 阿普西提斯 ;36;FA;Prince of Terror;Medium;M27006;x
27078;Minister of Security;耶尼斯 巴洛迪斯 ;40;FA;Man of the People;Medium;M27007;x
27079;Minister of Security;贾尼斯 安德松斯 ;45;PA;Crooked Kleptocrat;Low;M27033;x
27080;Minister of Security;保尔斯 卡尔宁斯 ;36;SC;Efficient Sociopath;High;M27011;x
27081;Minister of Security;贾泽普斯 兰坎斯 ;45;SC;Man of the People;Very High;M27035;x
27082;Minister of Security;尤里斯 拉伯尔茨 ;36;LE;Compassionate Gentleman;Medium;M27082;x
27083;Minister of Security;维利斯 拉奇斯 ;40;LE;Efficient Sociopath;Medium;M27025;x
27084;Minister of Security;罗多尔弗斯 罗欣 ;45;ST;Silent Lawyer;Medium;M27084;x
27085;Minister of Security;安德烈斯 雅布隆斯基斯 ;46;ST;Prince of Terror;Medium;M27085;x
27086;Head of Military Intelligence;汉斯 海因里希 洛泽 ;41;NS;Industrial Specialist;Medium;M27031;x
27087;Head of Military Intelligence;埃里希 科赫 ;43;NS;Logistics Specialist;Medium;M27087;x
27089;Head of Military Intelligence;卡尔利斯 乌尔马尼斯 ;38;FA;Dismal Enigma;Undying;M27002;x
27091;Head of Military Intelligence;费利克斯 谢棱斯 ;36;SC;Industrial Specialist;Medium;M27091;x
27092;Head of Military Intelligence;弗里西斯 塞尔明斯 ;40;SC;Dismal Enigma;Medium;M27016;x
27093;Head of Military Intelligence;莱因霍尔德 K. 扎里尼斯 ;45;SC;Technical Specialist;Medium;M27012;x
27094;Head of Military Intelligence;尤里斯 拉伯尔茨 ;36;LE;Technical Specialist;Medium;M27082;x
27095;Head of Military Intelligence;特奥多尔斯 兹韦尼亚克斯 ;45;ST;Naval Intelligence Specialist;Low;M27075;x
27096;Head of Military Intelligence;维利斯 拉奇斯 ;46;ST;Logistics Specialist;Medium;M27025;x
27097;Chief of Staff;康斯坦丁斯 恰克斯特 ;41;NS;School of Fire Support;Medium;M27097;x
27098;Chief of Staff;阿图尔斯 M. 西尔盖利斯 ;43;NS;School of Fire Support;High;M27098;x
27100;Chief of Staff;克里西亚尼斯 贝尔基斯 ;39;FA;School of Manoeuvre;Medium;M27100;x
27101;Chief of Staff;鲁道夫斯 科钦斯 ;45;PA;School of Psychology;Medium;M27101;x
27102;Chief of Staff;韦尔纳斯 特夫佩斯 ;36;SC;School of Manoeuvre;Medium;M27017;x
27103;Chief of Staff;贾尼斯 伯津斯 ;36;LE;School of Mass Combat;Medium;M27027;x
27104;Chief of Staff;罗伯茨 丹比蒂斯 ;38;LE;School of Fire Support;Medium;M27070;x
27105;Chief of Staff;伊兹格利蒂巴斯 陶塔斯 ;45;ST;School of Mass Combat;Medium;M27030;x
27106;Chief of Staff;阿图尔斯 斯普罗吉斯 ;46;ST;School of Fire Support;High;M27106;x
27107;Chief of Army;奥托 黑尔米希 ;41;NS;Elastic Defence Doctrine;Medium;M27107;x
27109;Chief of Army;弗里西斯 塞尔明斯 ;37;FA;Elastic Defence Doctrine;Medium;M27016;x
27110;Chief of Army;鲁道夫斯 科钦斯 ;45;PA;Elastic Defence Doctrine;Medium;M27101;x
27113;Chief of Army;贾尼斯 伯津斯 ;36;LE;Decisive Battle Doctrine;Medium;M27027;x
27114;Chief of Army;罗伯茨 丹比蒂斯 ;38;LE;Guns and Butter Doctrine;Medium;M27070;x
27115;Chief of Army;阿图尔斯 斯普罗吉斯 ;45;ST;Decisive Battle Doctrine;High;M27106;x
27116;Chief of Army;罗伯茨 奥西斯 ;46;ST;Guns and Butter Doctrine;Medium;M27046;x
27117;Chief of Navy;康斯坦丁斯 恰克斯特 ;41;NS;Base Control Doctrine;Medium;M27097;x
27120;Chief of Navy;贾尼斯 安德松斯 ;36;SC;Base Control Doctrine;Low;M27033;x
27121;Chief of Navy;奥古斯特斯 基尔兴施泰因 ;36;LE;Open Seas Doctrine;Medium;M27021;x
27122;Chief of Navy;尤利亚克斯 拉奇斯 ;40;LE;Indirect Approach Doctrine;Medium;M27029;x
27123;Chief of Navy;特奥多尔斯 兹韦尼亚克斯 ;45;ST;Power Projection Doctrine;Low;M27075;x
27124;Chief of Air Force;康斯坦丁斯 恰克斯特 ;41;NS;Army Aviation Doctrine;Medium;M27097;x
27127;Chief of Air Force;鲁道夫斯 班格斯基斯 ;45;PA;Army Aviation Doctrine;Low;M27008;x
27128;Chief of Air Force;茹库姆斯 瓦齐尔蒂斯 ;36;SC;Air Superiority Doctrine;Medium;M27126;x
27129;Chief of Air Force;埃德加斯 安德松斯 ;45;SC;Vertical Envelopment Doctrine;Medium;M27014;x
27130;Chief of Air Force;伊兹格利蒂巴斯 陶塔斯 ;36;LE;Naval Aviation Doctrine;Medium;M27030;x
