BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
15041;Head of Government;阿希尔 范 阿克 ;39;SD;Corporate Suit;NA;M15041;x
15042;Head of Government;加斯顿 伊斯更斯 ;45;SC;Corporate Suit;NA;M15042;x
15043;Head of Government;朱利恩 拉奥 ;45;ST;Backroom Backstabber;NA;M15024;x
15044;Foreign Minister;保罗-亨利 斯帕克 ;36;SL;Great Compromiser;Very High;M15034;x
15046;Foreign Minister;利昂 德格雷尔 ;36;NS;Iron Fisted Brute;Very High;M15013;x
15047;Foreign Minister;路易斯 德 布鲁凯尔 ;37;SD;Ideological Crusader;Very High;M15047;x
15048;Foreign Minister;欧仁 苏当 ;38;SL;Ideological Crusader;Very High;M15005;x
15049;Foreign Minister;胡贝特 皮埃洛 ;39;SC;Great Compromiser;Very High;M15037;x
15051;Foreign Minister;尤勒斯 皮尔 ;41;SD;General Staffer;Very High;M15051;x
15052;Foreign Minister;耶夫 范 德 维勒 ;42;NS;Iron Fisted Brute;Very High;M15011;x
15053;Foreign Minister;埃德加 拉尔芒 ;43;ST;Biased Intellectual;Very High;M15022;x
15054;Foreign Minister;朱利恩 拉奥 ;45;ST;Ideological Crusader;Very High;M15024;x
15055;Foreign Minister;加斯顿 伊斯更斯 ;47;SC;Great Compromiser;Very High;M15042;x
15056;Minister of Armament;亨德里克 德 曼 ;36;SL;Administrative Genius;Very High;M15056;x
15059;Minister of Armament;卡米尔 古特 ;37;ML;Administrative Genius;Very High;M15059;x
15060;Minister of Armament;利昂 德格雷尔 ;37;NS;Infantry Proponent;Very High;M15013;x
15061;Minister of Armament;尤勒斯 梅洛 ;38;SD;Resource Industrialist;Very High;M15061;x
15062;Minister of Armament;伊曼纽尔 米谢 ;39;ML;Tank Proponent;Very High;M15062;x
15063;Minister of Armament;保罗-亨利 斯帕克 ;39;SD;Resource Industrialist;Very High;M15034;x
15064;Minister of Armament;亨利 丹尼斯 ;40;SC;Infantry Proponent;Very High;M15064;x
15065;Minister of Armament;埃德加 拉尔芒 ;44;LE;Resource Industrialist;Very High;M15022;x
15066;Minister of Armament;加斯顿 伊斯更斯 ;40;ML;Administrative Genius;Very High;M15042;x
15067;Minister of Armament;弗朗茨 德 福格尔 ;45;ML;Laissez Faires Capitalist;Very High;M15067;x
15068;Minister of Armament;马塞尔 沃捷 ;46;ML;Laissez Faires Capitalist;Very High;M15068;x
15069;Minister of Armament;阿尔伯特 德 弗莱斯豪韦尔 ;46;SC;Resource Industrialist;Very High;M15069;x
15070;Minister of Armament;让 迪韦厄萨 ;47;SC;Administrative Genius;Very High;M15070;x
15071;Minister of Security;阿尔伯特 扬森 ;36;SC;Compassionate Gentleman;Very High;M15071;x
15072;Minister of Security;弗朗索瓦 博韦塞 ;36;SC;Silent Lawyer;Very High;M15072;x
15073;Minister of Security;保罗 海曼斯 ;36;SL;Compassionate Gentleman;Very High;M15073;x
15075;Minister of Security;保罗 奥威雷克斯 ;36;NS;Crime Fighter;Very High;M15075;x
15076;Minister of Security;保罗-埃米尔 杨松 ;37;ML;Crime Fighter;Very High;M15036;x
15077;Minister of Security;利昂 德格雷尔 ;37;NS;Prince of Terror;Very High;M15013;x
15079;Minister of Security;约瑟夫 福利安 ;38;SC;Silent Lawyer;Very High;M15079;x
15081;Minister of Security;亨利 伯爵 卡顿 德 维亚特 ;39;ML;Crime Fighter;Very High;M15081;x
15083;Minister of Security;尤勒斯 皮尔 ;42;SD;Prince of Terror;Very High;M15051;x
15084;Minister of Security;维克托 德 拉弗莱 ;44;SL;Crime Fighter;Very High;M15084;x
15085;Minister of Security;朱利恩 拉奥 ;44;ST;Prince of Terror;Very High;M15024;x
15086;Minister of Security;阿道夫 范 格拉贝克 ;45;SC;Man of the People;Very High;M15086;x
15087;Minister of Security;奥古斯特 比塞雷特 ;45;SC;Silent Lawyer;Very High;M15087;x
15088;Minister of Security;查尔斯 杜 布斯 德 瓦尔纳夫 ;45;SC;Crime Fighter;Very High;M15088;x
15089;Minister of Security;阿尔伯特 利拉尔 ;46;ML;Compassionate Gentleman;Very High;M15089;x
15090;Minister of Security;保罗 斯特鲁耶 ;47;SC;Man of the People;Very High;M15090;x
15091;Minister of Security;让 雷伊 ;47;SC;Silent Lawyer;Very High;M15091;x
15092;Head of Military Intelligence;维克托 德 拉弗莱 ;36;SD;Logistics Specialist;Very High;M15084;x
15093;Head of Military Intelligence;亨利 丹尼斯 ;36;SC;Logistics Specialist;Very High;M15064;x
15095;Head of Military Intelligence;保罗 奥威雷克斯 ;36;NS;Industrial Specialist;Very High;M15075;x
15096;Head of Military Intelligence;尤勒斯 皮尔 ;40;SD;Logistics Specialist;Very High;M15051;x
15097;Head of Military Intelligence;莱昂 德尔西纳 ;44;ML;Industrial Specialist;Very High;M15097;x
15098;Head of Military Intelligence;奥古斯特 比塞雷特 ;44;SC;Technical Specialist;Very High;M15087;x
15099;Head of Military Intelligence;赫尔曼 福斯 ;44;SD;Political Specialist;Very High;M15099;x
15100;Head of Military Intelligence;莱昂 芒德利尔 ;45;ML;Dismal Enigma;Very High;M15100;x
15101;Head of Military Intelligence;B E M 德弗雷特尔 ;46;ML;Dismal Enigma;Very High;M15101;x
15102;Head of Military Intelligence;皮埃尔 韦尔梅林 ;47;SL;Technical Specialist;Very High;M15102;x
15104;Chief of Staff;利昂 德格雷尔 ;36;NS;School of Mass Combat;Very High;M15013;x
15105;Chief of Staff;乔治 德方丹 ;38;SC;School of Fire Support;Very High;M15105;x
15106;Chief of Staff;维克托 范 斯特赖敦克 德 比克尔 ;40;SC;School of Mass Combat;Very High;M15008;x
15107;Chief of Staff;奥斯卡 米希尔斯 ;40;SC;School of Mass Combat;Very High;M15107;x
15108;Chief of Army;勒内 拉格鲁 ;36;NS;Decisive Battle Doctrine;Very High;M15017;x
15109;Chief of Army;利昂 德格雷尔 ;36;NS;Guns and Butter Doctrine;Very High;M15013;x
15110;Chief of Army;拉乌尔 范 奥弗斯特拉滕 ;38;SC;Guns and Butter Doctrine;Very High;M15110;x
15111;Chief of Army;伊万 热拉尔 ;40;ML;Elastic Defence Doctrine;Very High;M15111;x
15112;Chief of Army;查尔斯 巴斯廷 ;39;SD;Static Defence Doctrine;Very High;M15112;x
15113;Chief of Army;尤勒斯 皮尔 ;43;SD;Armoured Spearhead Doctrine;Very High;M15051;x
15114;Chief of Navy;弗里茨 康拉德 ;36;NS;Indirect Approach Doctrine;Very High;M15018;x
15115;Chief of Air Force;弗里茨 勒布 ;36;NS;Army Aviation Doctrine;Very High;M15019;x
15116;Chief of Air Force;尤勒斯 伊塞朗唐 ;37;SC;Air Superiority Doctrine;Very High;M15116;x
15117;Minister of Security;奥古斯特 德 斯赫雷弗 ;36;SC;Compassionate Gentleman;Very High;M15117;x
15118;Head of State;利奥波德 三世 ;37;ML;Benevolent Gentleman;NA;M15001;x
15119;Minister of Armament;盖伊 布蒂利耶 ;41;SD;Theoretical Scientist;Very High;M15119;x
15120;Minister of Armament;埃米尔 弗兰奎 ;36;ML;Laissez Faires Capitalist;Very High;M15120;x
15121;Minister of Armament;阿尔伯特-爱德华 扬森 ;38;ML;Resource Industrialist;Very High;M15121;x
15122;Minister of Armament;查尔斯 波马雷 ;38;SD;Infantry Proponent;Very High;M15122;x
15123;Minister of Armament;查尔斯 雷尼耶 ;36;SC;Air Superiority Proponent;Very High;M15123;x
15124;Minister of Armament;埃德蒙 鲁本斯 ;36;SC;Resource Industrialist;Very High;M15124;x
15125;Minister of Armament;阿尔伯特 沃特斯 ;39;SD;Military Entrepreneur;Very High;M15125;x
15126;Minister of Security;安托万 德尔福塞 ;42;ML;Compassionate Gentleman;Very High;M15126;x
15127;Minister of Security;维克托 迈斯特里奥 ;37;ML;Silent Lawyer;Very High;M15127;x
15128;Minister of Armament;路易斯 弗兰克 ;36;SC;Resource Industrialist;Very High;M15128;x
15129;Minister of Armament;亨德里克 海曼 ;36;SC;Air to Ground Proponent;Very High;M15129;x
15130;Minister of Armament;莫里斯 利庞 ;36;ML;Resource Industrialist;Very High;M15130;x
15131;Minister of Security;菲利普 范 伊萨克尔 ;36;SC;Crime Fighter;Very High;M15131;x
15132;Head of Government;弗兰斯 范 考韦拉特 ;36;SC;Naive Optimist;Very High;M15132;x
15133;Foreign Minister;弗兰斯 范 考韦拉特 ;36;SC;Ideological Crusader;Very High;M15132;x
15134;Head of State;利奥波德 三世 ;36;PA;Benevolent Gentleman;Very High;M15001;x
15020;Head of State;约瑟夫 雅克莫特 ;36;LE;Weary Stiffneck;NA;M15020;x
15021;Head of Government;约瑟夫 雅克莫特 ;36;LE;Political Protege;NA;M15020;x
15022;Foreign Minister;沃尔 范 奥弗斯特拉滕 ;36;LE;Biased Intellectual;Very High;M15118;x
15023;Minister of Armament;亚伯拉罕 利昂 ;36;LE;Resource Industrialist;Very High;M15023;x
15024;Minister of Security;阿代马尔 亨诺特 ;36;LE;Crime Fighter;Very High;;x
15025;Head of Military Intelligence;朱利恩 拉奥 ;36;LE;Political Specialist;Very High;M15024;x
15026;Chief of Staff;乔治 韦雷茨肯 ;36;LE;School of Mass Combat;Very High;M15121;x
15027;Chief of Army;乔治 韦雷茨肯 ;36;LE;Elastic Defence Doctrine;Very High;M15121;x
15028;Chief of Navy;乔治 韦雷茨肯 ;36;LE;Undistinguished Suit;Very High;M15121;x
15029;Chief of Air Force;乔治 韦雷茨肯 ;36;LE;Undistinguished Suit;Very High;M15121;x
15135;Head of State;利奥波德 三世 ;36;SL;Benevolent Gentleman;Very High;M15001;x
15136;Head of State;卡雷尔 ;36;SL;Benevolent Gentleman;Very High;M15031;x
15137;Minister of Armament;西里尔 范 奥弗伯格 ;37;SC;Theoretical Scientist;High;M15137;x
15138;Head of Government;乔治 特尼斯 ;33;SC;Naive Optimist;High;M15138;x
15139;Minister of Armament;乔治 特尼斯 ;33;SC;Laissez Faires Capitalist;High;M15138;x
15140;Minister of Armament;古斯塔夫 沙普 ;36;SC;Military Entrepreneur;High;M15140;x
15141;Head of Government;约里斯 范 泽韦伦 ;36;FA;Flamboyant Tough Guy;Very High;M15141;x
15142;Head of Government;查尔斯 松维尔 ;36;FA;Flamboyant Tough Guy;Very High;M15142;x
15143;Foreign Minister;埃米耶尔 蒂尔斯 ;36;FA;Great Compromiser;Very High;M15143;x
15144;Foreign Minister;瓦尔德 赫尔曼斯 ;36;FA;Biased Intellectual;Very High;M15144;x
15145;Foreign Minister;波尔 列 罗伊 ;36;FA;Ideological Crusader;Very High;M15145;x
15146;Minister of Armament;勒内 兰布里希茨 ;37;FA;Administrative Genius;Very High;M15146;x
15147;Minister of Armament;约里斯 范 泽韦伦 ;36;FA;Military Entrepreneur;Very High;M15141;x
15148;Minister of Armament;查尔斯 松维尔 ;36;FA;Resource Industrialist;Very High;M15142;x
15149;Minister of Security;勒内 兰布里希茨 ;37;FA;Efficient Sociopath;Very High;M15146;x
15150;Minister of Security;埃米耶尔 蒂尔斯 ;36;FA;Compassionate Gentleman;Very High;M15143;x
15151;Minister of Security;扬 赖科尔特 ;36;FA;Man of the People;Very High;M15151;x
15152;Minister of Security;瓦尔德 赫尔曼斯 ;36;FA;Silent Lawyer;Very High;M15144;x
15153;Head of Military Intelligence;约里斯 范 泽韦伦 ;36;FA;Logistics Specialist;Very High;M15141;x
15154;Head of Military Intelligence;扬 赖科尔特 ;36;FA;Political Specialist;Very High;M15151;x
15155;Chief of Staff;约里斯 范 泽韦伦 ;36;FA;School of Psychology;Very High;M15141;x
15156;Minister of Armament;亚历山大 加洛潘 ;36;ML;Administrative Genius;Very High;M15156;x
15158;Head of State;鲍德温一世 ;50;SL;Autocratic Charmer;High;M15158;x
15159;Head of State;鲍德温一世 ;50;ML;Autocratic Charmer;High;M15158;x
15160;Head of Government;让 迪韦厄萨 ;50;SC;Political Protege;NA;M15070;x
15161;Head of Government;约瑟夫 福利安 ;50;SC;Backroom Backstabber;NA;M15079;x
15162;Head of Government;让 范 豪特 ;53;SC;Naive Optimist;NA;M15162;x
15163;Minister of Armament;B E M 德弗雷特尔 ;46;SL;Military Entrepreneur;High;M15101;x
15165;Minister of Armament;艾蒂安 德 格雷夫 ;50;ML;Resource Industrialist;High;M15165;x
15167;Minister of Security;阿尔伯特 德 弗莱斯豪韦尔 ;49;SC;Silent Lawyer;Very High;M15069;x
15168;Minister of Security;莫里斯 布拉瑟尔 ;50;ML;Man of the People;Very High;M15168;x
15169;Minister of Security;卢多维克 莫耶松 ;52;SC;Prince of Terror;Very High;M15169;x
15170;Minister of Armament;奥古斯特 比塞雷特 ;49;SC;Laissez Faires Capitalist;Very High;M15087;x
15171;Minister of Armament;奥斯卡 比奥涅 ;49;ML;Resource Industrialist;High;M15171;x
15172;Minister of Armament;莱昂-埃利 特罗克莱 ;47;SD;Resource Industrialist;Very High;M15172;x
15173;Minister of Armament;B E M 德弗雷特尔 ;47;SL;Infantry Proponent;High;M15101;x
15174;Minister of Security;皮埃尔 韦尔梅林 ;47;SL;Silent Lawyer;Very High;M15102;x
15175;Minister of Armament;让 范 豪特 ;50;SC;Laissez Faires Capitalist;Very High;M15162;x
15176;Head of State;阿尔贝一世;30;ML;Benevolent Gentleman;NA;M15176;x
15177;Chief of Staff;雷昂 吉利斯;49;NS;School of Manoeuvre;Medium;M_FLA_Leon_Gillis;x
