LEB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
529021;Head of Government;萨米 阿斯-苏勒赫 ;42;SL;Happy Amateur;High;M529021;x
529022;Head of Government;彼得罗 特拉德 ;43;SL;Smiling Oilman;High;M529022;x
529023;Head of Government;里亚德 阿斯-苏勒赫 ;43;SC;Silent Workhorse;High;M529023;x
529024;Head of Government;阿卜杜勒 哈米德 卡拉米 ;45;SC;Flamboyant Tough Guy;High;M529024;x
529025;Head of Government;萨米 阿斯-苏勒赫 ;45;SC;Corporate Suit;High;M529021;x
529026;Head of Government;萨阿德 阿尔-蒙拉 ;46;SC;Naive Optimist;High;M529012;x
529027;Head of Government;里亚德 阿斯-苏勒赫 ;46;SC;Backroom Backstabber;High;M529023;x
529028;Head of Government;哈比卜 巴沙 埃尔-赛义德 ;36;PA;Political Protege;High;M529028;x
529029;Foreign Minister;阿卜杜勒卡里姆 阿尔-哈塔比 ;41;SL;The Cloak N Dagger Schemer;High;M529029;x
529030;Foreign Minister;萨米 阿斯-苏勒赫 ;46;SL;Ideological Crusader;High;M529021;x
529031;Foreign Minister;阿卜杜拉 巴尤姆 ;36;SC;Apologetic Clerk;High;M529018;x
529032;Foreign Minister;雅克 鲍梅尔 ;40;SC;Iron Fisted Brute;High;M529032;x
529033;Foreign Minister;马吉德 阿尔斯兰 ;44;SC;The Cloak N Dagger Schemer;High;M529033;x
529034;Foreign Minister;埃米尔 埃迪 ;30;PA;Ideological Crusader;High;M529001;x
529035;Minister of Armament;里亚德 阿斯-苏勒赫 ;40;SL;Administrative Genius;Medium;M529023;x
529036;Minister of Armament;拉扬 卡迪 ;44;SL;Tank Proponent;Medium;M529036;x
529037;Minister of Armament;哈立德 谢哈卜 ;40;SC;Corrupt Kleptocrat;Medium;M529005;x
529038;Minister of Armament;艾哈迈德 达乌德 ;39;SC;Infantry Proponent;Medium;M529020;x
529039;Minister of Armament;纳齐姆 马吉达拉尼 ;45;SC;Resource Industrialist;Medium;M529039;x
529040;Minister of Armament;凯雷丁 阿尔-阿赫达卜 ;36;PA;Laissez Faires Capitalist;Medium;M529006;x
529041;Minister of Security;阿卜杜勒 哈米德 卡拉米 ;39;SL;Man of the People;Medium;M529024;x
529042;Minister of Security;纳齐姆 马吉达拉尼 ;44;SL;Compassionate Gentleman;Medium;M529039;x
529043;Minister of Security;凯雷丁 阿尔-阿赫达卜 ;36;SC;Crime Fighter;Medium;M529006;x
529044;Minister of Security;卡迈勒 琼布拉特 ;40;SC;Back Stabber;Medium;M529044;x
529045;Minister of Security;苏莱曼 纳乌法伊 ;45;SC;Efficient Sociopath;Medium;M529045;x
529046;Minister of Security;阿尤布 萨比特 ;30;PA;Compassionate Gentleman;Medium;M529002;x
529047;Head of Military Intelligence;巴特里亚克 阿尔-阿穆西 ;40;SL;Dismal Enigma;Medium;M529047;x
529048;Head of Military Intelligence;法迪 易卜拉欣 ;45;SL;Political Specialist;Medium;M529048;x
529049;Head of Military Intelligence;阿尤布 萨比特 ;36;SC;Industrial Specialist;Medium;M529002;x
529050;Head of Military Intelligence;苏莱曼 纳乌法伊 ;43;SC;Logistics Specialist;Medium;M529045;x
529051;Head of Military Intelligence;萨阿德 阿尔-蒙拉 ;36;PA;Dismal Enigma;Medium;M529012;x
529052;Chief of Staff;安托万 哈尔卜 ;44;SL;School of Mass Combat;Medium;M529052;x
529053;Chief of Staff;伊斯坎德尔 加尼姆 ;40;SC;School of Defence;Medium;M529053;x
529054;Chief of Staff;尼古拉斯 鲁米纳佐夫 ;36;PA;School of Psychology;Medium;M529054;x
529055;Chief of Army;贾米勒 拉胡德 ;44;SL;Armoured Spearhead Doctrine;Medium;M529055;x
529056;Chief of Army;福阿德 谢哈卜 ;40;SC;Guns and Butter Doctrine;Medium;M529056;x
529057;Chief of Army;拉什拉希 阿扎姆 ;36;PA;Elastic Defence Doctrine;Medium;M529057;x
529058;Chief of Navy;路易斯 菲内 ;41;SL;Indirect Approach Doctrine;Medium;M529058;x
529059;Chief of Navy;纳比尔 亚德 ;43;SC;Open Seas Doctrine;Medium;M529059;x
529060;Chief of Navy;阿布达拉 阿列夫 阿尔-雅菲 ;40;PA;Decisive Naval Battle Doctrine;Medium;M529003;x
529061;Chief of Air Force;苏莱曼 纳乌法伊 ;44;SL;Air Superiority Doctrine;Medium;M529045;x
529062;Chief of Air Force;埃米尔 布斯塔尼 ;40;SC;Air Superiority Doctrine;Medium;M529062;x
529063;Chief of Air Force;彼得罗 特拉德 ;36;PA;Army Aviation Doctrine;Medium;M529022;x
529064;Head of Government;亨利 登茨 ;36;PA;Old General;High;L24059;x
529065;Head of Military Intelligence;亨利 登茨 ;36;PA;Logistics Specialist;High;L24059;x
529066;Chief of Staff;亨利 登茨 ;36;PA;School of Defence;High;L24059;x
529067;Foreign Minister;哈米德 法兰吉亚 ;38;PA;Iron Fisted Brute;Medium;M529067;x
529068;Minister of Armament;卡米勒 沙姆'温 ;38;PA;Laissez Faires Capitalist;Medium;M529068;x
529069;Head of Military Intelligence;艾哈迈德 阿尔-侯赛尼 ;38;PA;Dismal Enigma;Medium;M529069;x
529070;Head of State;卡米尔 夏蒙 ;52;SC;Powerhungry Demagogue;High;M529070;x
529071;Head of Government;哈桑 阿尔-奥韦尼 ;51;SC;Happy Amateur;High;M529071;x
529072;Head of Government;纳齐姆 阿尔-阿卡里 ;52;SC;Smiling Oilman;High;M529072;x
529073;Head of Government;赛义卜 萨拉姆 ;52;ML;Naive Optimist;High;M529073;x
529074;Foreign Minister;福阿德 谢哈卜 ;50;SC;General Staffer;High;M529056;x
529075;Head of Government;皮埃尔 杰马耶勒;35;FA;Naive Optimist;High;M_LEB_PierreGemayel;x
529076;Minister of Security;威廉 阿明 哈维;37;FA;Prince of Terror;High;M_LEB_WilliamHawi;x
529077;Chief of Staff;威廉 阿明 哈维;41;FA;School of Mass Combat;High;M_LEB_WilliamHawi;x
529078;Foreign Minister;皮埃尔 杰马耶勒;43;FA;Ideological Crusader;High;M_LEB_PierreGemayel;x
529079;Foreign Minister;查尔斯 赫娄;37;FA;Great Compromiser;High;M_LEB_CharlesHelou;x
529080;Head of State;查尔斯 赫娄;58;PA;Autocratic Charmer;High;M_LEB_CharlesHelou;x
