PHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
50081;Head of Military Intelligence;约翰 吉尔伯特 怀南特 ;43;SL;Industrial Specialist;Medium;M50081;x
50082;Chief of Navy;欧斯塔西奥 奥罗维亚 ;38;SC;Indirect Approach Doctrine;Very Low;M50019;x
50083;Chief of Navy;乔斯 V 安德拉达 ;38;SL;Open Seas Doctrine;Low;M50083;x
50084;Chief of Navy;拉蒙 A 阿尔卡拉斯 ;42;SL;Decisive Naval Battle Doctrine;Medium;M50084;x
50085;Chief of Air Force;巴西利奥 费尔南多 ;40;SL;Army Aviation Doctrine;High;M50085;x
50086;Chief of Air Force;埃德温 安德鲁斯 ;44;SL;Vertical Envelopment Doctrine;Medium;M50086;x
50087;Chief of Air Force;维克托 H 迪宗 ;46;SC;Naval Aviation Doctrine;High;M50087;x
50088;Head of Government;曼努埃尔 罗沙斯 ;45;SL;Old General;High;M50035;x
50011;Head of State;若泽 P 劳雷尔 ;36;PA;Powerhungry Demagogue;High;M50011;x
50012;Head of Government;若泽 P 劳雷尔 ;36;PA;Smiling Oilman;High;M50011;x
50015;Minister of Security;贝尼尼奥 阿奎诺 sr. ;36;PA;Crooked Kleptocrat;Medium;M50015;x
50018;Chief of Army;巴西利奥 J 瓦尔德斯 ;36;PA;Static Defence Doctrine;Medium;M50017;x
50020;Chief of Air Force;费利克斯 佩斯塔纳 ;36;FA;Air Superiority Doctrine;Medium;M50020;x
50021;Head of State;克里桑托 埃万杰利斯塔 ;36;LE;Weary Stiffneck;High;M50021;x
50022;Head of Government;佩德罗 奥巴德 桑托斯 ;36;LE;Corporate Suit;High;M50022;x
50023;Foreign Minister;卡斯托 亚历杭德里诺 ;36;LE;Apologetic Clerk;Medium;M50023;x
50024;Minister of Armament;克里桑托 埃万杰利斯塔 ;36;LE;Administrative Genius;Medium;M50021;x
50025;Minister of Security;马里亚诺 巴尔戈斯 ;36;LWR;Crime Fighter;Medium;M50025;x
50026;Head of Military Intelligence;路易斯 塔鲁克 ;36;LE;Dismal Enigma;Medium;M50026;x
50027;Chief of Staff;路易斯 塔鲁克 ;36;LE;School of Manoeuvre;Medium;M50026;x
50028;Chief of Army;赫苏斯 拉瓦 ;36;LE;Guns and Butter Doctrine;Medium;M50028;x
50029;Chief of Navy;赫苏斯 拉瓦 ;36;LE;Base Control Doctrine;Medium;M50028;x
50030;Chief of Air Force;乔 罗杰斯 ;36;LWR;Carpet Bombing Doctrine;Medium;M50030;x
50089;Head of State;拉蒙 麦格赛赛 ;45;SC;Insignificant Layman;Medium;M50054;x
50090;Head of Government;拉蒙 麦格赛赛 ;45;SC;Naive Optimist;Medium;M50054;x
