UPE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
65832;Head of Military Intelligence;丁夏 伊拉尼 ;36;ST;Technical Specialist;Medium;M53021;x
65833;Head of Military Intelligence;穆罕默德 莫萨德克 ;36;ST;Logistics Specialist;Medium;M53013;x
65834;Head of Military Intelligence;穆罕默德 礼萨 巴列维 ;36;ST;Political Specialist;Medium;M53011;x
65835;Head of Military Intelligence;阿里 塞帕赫博迪 卡亚尔 ;36;ST;Dismal Enigma;Medium;M53084;x
65836;Head of Military Intelligence;西尔 内维尔 格兰特雷 ;36;ST;Industrial Specialist;Medium;M53085;x
65837;Head of Military Intelligence;奥瓦萨克 阿尔-多莱赫 努里尔 ;36;ST;Naval Intelligence Specialist;Medium;M53088;x
65838;Chief of Staff;阿里 汗 纳克济安 ;36;ST;School of Manoeuvre;Medium;M53027;x
65839;Chief of Staff;侯赛因 阿夫哈米 ;36;ST;School of Fire Support;Medium;M53017;x
65840;Chief of Staff;礼萨 米扎尼 ;36;ST;School of Mass Combat;Medium;M53006;x
65841;Chief of Staff;哈桑 马吉德 菲罗斯 ;36;ST;School of Defence;Medium;M53028;x
65842;Chief of Staff;阿里 阿克巴尔 戴瓦 ;36;ST;School of Psychology;Medium;M53005;x
65843;Chief of Army;阿兹拉姆 米尔 加尼 ;36;ST;Elastic Defence Doctrine;Medium;M53098;x
65844;Chief of Army;哈桑 马吉德 菲罗斯 ;36;ST;Static Defence Doctrine;Medium;M53028;x
65845;Chief of Army;希达亚特 吉兰沙 ;36;ST;Decisive Battle Doctrine;Medium;M53100;x
65846;Chief of Army;穆罕默德 纳赫亚瓦尼 ;36;ST;Armoured Spearhead Doctrine;Medium;M53062;x
65847;Chief of Army;米尔 阿夫哈米 ;36;ST;Guns and Butter Doctrine;Medium;M53018;x
65848;Chief of Navy;沙普尔 希斯拉巴迪 ;36;ST;Open Seas Doctrine;Medium;M53102;x
65849;Chief of Navy;艾哈迈德 汗 纳赫亚万 ;36;ST;Decisive Naval Battle Doctrine;Medium;M53004;x
65850;Chief of Navy;穆罕默德 米尔 穆汉纳 ;36;ST;Power Projection Doctrine;Medium;M53029;x
65851;Chief of Navy;穆罕默德 莫伊尼 ;36;ST;Indirect Approach Doctrine;Medium;M53020;x
65852;Chief of Navy;礼萨 米扎尼 ;36;ST;Base Control Doctrine;Medium;M53006;x
65853;Chief of Air Force;穆罕默德 纳赫亚瓦尼 ;36;ST;Air Superiority Doctrine;Medium;M53062;x
65854;Chief of Air Force;穆罕默德 米尔 穆汉纳 ;36;ST;Naval Aviation Doctrine;Medium;M53029;x
65855;Chief of Air Force;萨迪克 汗 科帕尔 ;36;ST;Army Aviation Doctrine;High;M53106;x
65856;Chief of Air Force;希达亚特 吉兰沙 ;36;ST;Carpet Bombing Doctrine;Medium;M53100;x
65857;Chief of Air Force;穆罕默德 莫伊尼 ;36;ST;Vertical Envelopment Doctrine;Medium;M53020;x
