ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
329;Frank Whittle;T329;7;1936;1996;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
330;George Paget Thomson;T330;5;1930;1975;nuclear_physics;nuclear_engineering;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
331;Earl Mountbatten;T331;5;1955;1965;small_taskforce_tactics;naval_training;decentralized_execution;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340;Sandhurst Academy;T_ENG_Sandhurst;6;1974;2999;combined_arms_focus;infantry_focus;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;Royal Air Force;T_ENG_RAF;6;1984;2999;fighter_tactics;piloting;bomber_tactics;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;Royal Navy Surface Fleet;T_ENG_RNavy;6;1965;2999;large_taskforce_tactics;naval_training;centralized_execution;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;Submarine Command;T_ENG_Sub_Command;6;1963;2999;decentralized_execution;small_taskforce_tactics;submarine_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;Science Research Council;T_ENG_SRC;5;1965;2999;rocketry;mathematics;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
350;Decca Radar;T_ENG_DeccaRadar;7;1949;2999;electronics;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
351;Fairfield Shipbuilding;T_ENG_FairfieldShipbuilding;6;1930;2999;naval_engineering;general_equipment;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
352;General Electric Company;T_ENG_GeneralElectricCompany;7;1930;2999;electronics;general_equipment;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
353;GKN Engineering plc;T_ENG_GKNEngineeringplc;7;1930;2999;industrial_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
354;Gloster Aircraft Company;T_ENG_Gloster_Aircraft_Company;7;1943;2999;aeronautics;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
355;Handley Page;T_ENG_HandleyPage;6;1930;2999;aeronautics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
356;ICI;T_ENG_ICI;7;1930;2999;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
357;Marconi Company;T_ENG_MarconiCompany;6;1930;2999;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
358;Nuffield Organisation;T_ENG_NuffieldOrganisation;5;1930;2999;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
359;Lord Beaverbrook;T_ENG_LordBeaverbrook;7;1940;1945;management;aeronautics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360;Keith Park;T_ENG_KeithPark;7;1938;1942;fighter_tactics;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
361;John Tovey;T_ENG_JohnTovey;6;1940;1971;small_taskforce_tactics;naval_artillery;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
362;Barnes Wallace;T_ENG_BarnesWallis;7;1940;1948;artillery;mathematics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
363;Archibald Wavell;T_ENG_ArchibaldWavell;6;1930;1950;large_unit_tactics;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
364;Yarrow & Co. Ltd;T_ENG_Yarrow;7;1930;2999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
365;Associated Equipment Co.;T_ENG_AEC;5;1930;1962;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
366;BOC Group;T_ENG_BOC;5;1930;2999;management;electronics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
367;BRC&W;T_ENG_BRC;5;1930;1963;mechanics;technical_efficiency;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
