GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13;Rheinmetall;T13;7;1930;2999;artillery;mechanics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14;Siemens;T14;8;1930;2999;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15;Volkswagen;T15;6;1937;2999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
16;Werner Heisenberg;T16;7;1927;1976;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17;Wernher von Braun;T17;9;1932;1976;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;Adolf Galland;T18;5;1941;1996;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19;Erich Raeder;T19;7;1930;1960;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20;Erich von Manstein;T20;9;1930;1973;combined_arms_focus;large_unit_tactics;centralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21;Ernst Udet;T21;7;1930;1944;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;Heinz Wilhelm Guderian;T22;9;1930;1954;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23;Hermann Göring;T23;5;1930;1969;bomber_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;Hugo Sperrle;T24;7;1938;1953;bomber_tactics;aircraft_testing;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25;Karl Dönitz;T25;8;1930;1980;submarine_tactics;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
26;Focke-Wulf;T26;8;1930;2999;aeronautics;electronics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
27;Heckler & Koch;T_GER_HecklerandKoch;6;1949;2999;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;Heimsoeth & Rinke;T_GER_Heimsoeth&Rinke;5;1934;2999;mathematics;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
29;Dornier Werke GmbH;T29;7;1930;2999;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30;Krauss-Maffei;T_GER_Krauss-Maffei;8;1940;2999;artillery;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31;Henschel & Sohn;T_GER_Henschel&Sohn;8;1930;2999;aeronautics;rocketry;mechanics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32;HV Peenemünde;T32;8;1954;2999;aeronautics;rocketry;electronics;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
33;Sicherheitsdienst;T33;4;1945;2999;centralized_execution;decentralized_execution;chemistry;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
34;Heinz Günther Guderian;T34;8;1955;2004;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35;HASAG;T_GER_HASAG;7;1930;2999;general_equipment;artillery;training;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
36;Arado;T_GER_Arado;8;1930;2999;aeronautics;rocketry;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
37;C.G. Haenel GmbH;T_GER_CGHaenelGmbH;8;1930;2999;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
38;Daimler Benz;T_GER_Daimler_Benz;7;1930;2999;mechanics;technical_efficiency;electronics;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
39;Degussa;T_GER_Degussa;8;1930;2999;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40;Deutsche Werke;T_GER_Deutsche_Werke;6;1930;2999;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
41;Hugo Schmeisser;T_GER_Hugo_Schmeisser;6;1930;1953;mechanics;technical_efficiency;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
42;Lürssen;T_GER_Lurssen;5;1930;2999;naval_artillery;naval_engineering;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
43;Otto Hahn;T_GER_Otto_Hahn;5;1930;1960;chemistry;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
44;Telefunken GmbH;T_GER_Telefunken_GmbH;7;1930;2999;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45;Vereinigte Stahlwerke AG;T_GER_VereinigteStahlwerke;7;1930;2999;technical_efficiency;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
46;Luftwaffe;T_GER_Luftwaffe;6;1960;2999;bomber_tactics;fighter_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
47;Naval Academy Mürwik;T7014;6;1960;2999;seamanship;small_taskforce_tactics;naval_training;centralized_execution;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
48;Reichswehr;Twarc;8;1974;2999;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
49;Kaiser Wilhelm Institute;Taec;6;1977;2999;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
