POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2710;Józef Unrug;T_POL_Unrug;3;1930;1970;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2711;Józef Zajac;T_POL_Zajac;3;1938;1970;aircraft_testing;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2712;Kazimierz Sosnkowski;T_POL_Kazimierz_Sosnkowski;4;1941;1970;centralized_execution;infantry_focus;large_unit_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2713;LWS;T_POL_LWS;3;1930;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2714;Lilpop Rau & Loewenstein;T_POL_Lilpop;4;1930;1970;general_equipment;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2715;Ludomil Rayski;T2711;4;1930;1970;aircraft_testing;bomber_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2716;PIT;T_POL_PIT;4;1930;1970;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2717;PWS;T2705;2;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2718;PZInz;T2706;4;1930;1970;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2719;PZL;T2707;6;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2720;PZTiR;T_POL_PZT;4;1930;1970;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2721;Panstwowa Wytwórnia Uzbrojenia;T2703;4;1930;1970;artillery;chemistry;electronics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2722;Polska Szkola Matematyczna;T2701;7;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2723;RWD;T_POL_RWD;3;1938;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2724;SMPzA;T_POL_SMPzA;4;1930;1970;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2725;Stalowa Wola;T_POL_StalowaWola;4;1940;1970;artillery;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2726;Stanislaw Maczek;T_POL_Stanislaw_Maczek;4;1938;1970;combined_arms_focus;small_unit_tactics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2727;Stanislaw Sosabowski;T_POL_Stanislaw_Sosabowski;4;1941;1970;general_equipment;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2728;Stanislaw Ulam;T2702;6;1930;1970;chemistry;mathematics;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2729;Stocznia Gdynia;T_POL_Stocznia_Gdynia;3;1939;1970;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2730;TKDN;T_POL_Groszkowski;3;1930;1970;chemistry;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2731;Tadeusz Kutrzeba;T2709;4;1930;1970;centralized_execution;infantry_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2732;Warsztaty Portowe MW;T2708;4;1938;1970;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2733;Zaklady Azotowe w Tarnowie;T_POL_ZakladyAzotowe;4;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2734;Zaklady Starachowickie;T2704;5;1930;1970;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
