FFR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
901518;Gloster Aircraft Company;T_ENG_Gloster_Aircraft_Company;3;1943;1970;aeronautics;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901519;Handley Page;T_ENG_HandleyPage;3;1930;1970;aeronautics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901520;Harland & Wolff;T307;4;1930;1970;aeronautics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901521;Hawker;T308;3;1941;1970;aeronautics;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901522;ICI;T_ENG_ICI;3;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901523;John Brown & Co.;T310;3;1930;1970;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901524;Leyland;T311;4;1930;1970;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901525;Marconi Company;T_ENG_MarconiCompany;3;1930;1970;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901526;Martial Valín;T1421;6;1940;1970;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901527;Nuffield Organisation;T_ENG_NuffieldOrganisation;3;1930;1970;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901528;Phillippe Kieffer;T_FRA_Philippe_Kieffer;5;1942;1963;decentralized_execution;individual_courage;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901529;Raoul Salan;T1428;4;1948;1960;centralized_execution;combined_arms_focus;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901530;Royal Small Arms Factory;T313;3;1930;1970;artillery;chemistry;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901531;Supermarine;T314;5;1930;1970;aeronautics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901532;Vauxhall;T315;3;1930;1970;artillery;chemistry;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901533;Vickers-Armstrong;T316;4;1930;1970;aeronautics;artillery;mechanics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901534;Yarrow & Co. Ltd;T_ENG_Yarrow;3;1930;1970;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
