CHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1029;CSIST;T1020;7;1969;2999;rocketry;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030;INER;T_CHI_INER;7;1968;2999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1031;China Steel Corporation;T_CHI_CSC;9;1972;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1032;ASUSTeK;T_CHI_ASUS;8;1990;2999;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1033;Taiyuan Arsenal;T1033;4;2999;2999;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035;Tianjin Machinery Factory;T8805;3;2999;2999;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1036;Tianjin Tram & Electric Co.;T8807;3;2999;2999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1037;Zhili Gongye Zongju;T8808;4;2999;2999;industrial_engineering;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1038;Kwangtung Arsenal;T1038;4;2999;2999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1039;Guangzhou Shipyard;T8702;3;2999;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040;Hoff Lu;T1040;5;2999;1997;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1041;Xibei University;T11001;3;2999;2999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1042;State Southwest Associated University;T11401;3;2999;2999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045;Anshan Iron & Steel Works;T1045;5;2999;2999;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1046;Chan Chak;T1046;3;2999;1949;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1047;Sun Li-jen;T1047;5;2999;1989;small_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1048;Teiichi Suzuki;T1048;4;2999;1988;large_unit_tactics;infantry_focus;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1049;14th Air Force;T1049;4;2999;1989;aircraft_testing;fighter_tactics;bomber_tactics;piloting;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1050;Joseph Stilwell;T1050;4;1945;1946;training;management;general_equipment;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1051;Luftwaffe Beraterschaft;T1051;4;2999;1999;combined_arms_focus;fighter_tactics;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1052;Ministry of National Defense;T1052;6;1970;2999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1053;Chiang Ching-kuo;T1053;7;2999;1988;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1054;National Security Bureau;T1054;4;1955;2999;centralized_execution;decentralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1055;Republic of China Army;T1055;5;1980;2999;combined_arms_focus;large_unit_tactics;centralized_execution;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1056;National Chiao Tung University;T1056;5;1958;2999;electronics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1057;Republic of China Navy;T1009;5;1980;2999;small_taskforce_tactics;naval_training;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1058;Republic of China Air Force;T1008;5;1970;2999;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1059;Republic of China Marines;T1059;5;1975;2999;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1060;China Shipbuilding Corporation;T1060;6;1973;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1061;Taiwan Machinery Corporation;T1061;5;2999;2999;technical_efficiency;artillery;management;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1062;National Military Academy;T_CHI_NMA;6;1970;2999;large_unit_tactics;combined_arms_focus;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
