SCA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
32031;Aage Vedel;T213;3;1941;1958;seamanship;large_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32032;AB Elektrolux;T_SWE_Electrolux;5;1930;2999;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32033;ABB;T_SWE_ABB;7;1989;2999;mechanics;electronics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32034;AGA AB;T_SWE_AGA;4;1930;2000;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32035;Akers Mekaniske Verksted;T_NOR_Akers;4;1930;1982;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32036;Asea AB;T_SWE_ASEA;4;1930;1959;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32037;Asea AB;T_SWE_ASEA;6;1960;1988;mechanics;electronics;management;industrial_engineering;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32038;Atlas Copco;T_SWE_AtlasCopo;4;1930;2999;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32039;BAE Systems AB;T_SWE_BAE;6;1930;1970;artillery;mechanics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32040;Borregaard;T_NOR_Borregard2;4;1945;2999;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32041;Carl Gustafs Stads Gevärsfaktori;T_SWE_CarlGustafsStadsGevarsfaktori;3;1930;1999;general_equipment;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32042;Cyb Aero;T_SWE_Cybaero;5;2003;2999;electronics;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32043;DALO;T_DEN_DALO;3;1930;2999;mechanics;general_equipment;centralized_execution;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32044;Danfoss;T_DEN_Danfoss;4;1945;2999;mechanics;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32045;Den Kongelige Norske Arme;T_NOR_Norske_Arme;4;1943;2999;training;small_unit_tactics;infantry_focus;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32046;EB Strømmens Værksted;T_NOR_EBSV;3;1989;2999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32047;Eriksbergs Mekaniska Verkstads AB;T_SWE_Eriksbergs;3;1930;1979;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32048;Flygtekniska försöksanstalten;T_SWE_FFA;4;1940;2000;aeronautics;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32049;Försvarets forskningsanstalt;T_SWE_FOA;4;1941;2000;chemistry;nuclear_physics;combined_arms_focus;management;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32050;Forsvarets Forskningsinstitutt;T_NOR_FFI;4;1946;2999;chemistry;combined_arms_focus;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32051;Framnæs Mekaniske Værksted;T_NOR_Famnaes;3;1930;1986;electronics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32052;G4S;T_DEN_G4S;7;2000;2999;training;management;electronics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32053;Grundfos;T_DEN_Grundfoss;6;1945;2999;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32054;Hærens flyvevæsen;T2506;3;1930;2999;aircraft_testing;bomber_tactics;combined_arms_focus;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32055;Hägglund & Söner;T_SWE_Hagglund&Soner;3;1930;1972;aeronautics;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32056;Institutt for Atomenergi;T_NOR_InstituttforAtomenergi;5;1946;2999;chemistry;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32057;Københavns Universitet;T_DEN_KobenhavnsUniversitet;4;1930;2999;chemistry;mathematics;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32058;Kockums Mekaniska Verkstads;T_SWE_Kockums;5;1930;1999;industrial_engineering;mechanics;naval_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32059;Kongsberg Defence & Aerospace;T_NOR_Kongsberg2;6;1971;2999;electronics;rocketry;mechanics;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32060;Kungliga Tekniska högskolan;T_SWE_KungligaTekniskaHogskolan;4;1930;2999;nuclear_physics;mechanics;chemistry;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32061;Luftforsvaret;T_NOR_Luftforsvaret;3;1944;2999;aircraft_testing;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32062;Luftstridsskolan;T_SWE_Luft_Skolan;4;1946;2999;aircraft_testing;fighter_tactics;piloting;centralized_execution;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32063;Maersk;T_DEN_Maersk;5;1930;2999;naval_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32064;MAN Diesel;T_DEN_MAN_Diesel;5;1982;2999;mechanics;electronics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32065;Manne Siegbahn;T3217;6;1930;1978;electronics;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32066;Militärhögskolan Halmstad;T_SWE_Militar_Hogskolan;4;1946;2999;small_unit_tactics;combined_arms_focus;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32067;Nammo;T_NOR_Nammo;5;1998;2999;artillery;mechanics;chemistry;general_equipment;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32068;Norges Tekniske Høgskole;T_NOR_NorgesTekniskeHogskole;4;1930;1945;electronics;chemistry;industrial_engineering;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32069;Norges Tekniske Høgskole;T_NOR_NorgesTekniskeHogskole;4;1946;2999;electronics;chemistry;industrial_engineering;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32070;Norsk Hydro;T_NOR_NorskHydro;5;1930;2999;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32071;Novo Nordisk;T_DEN_Novo_Nordisk;5;1930;2999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32072;Raufoss Ammunisjonsfabrikk;T2504;5;1960;1997;artillery;mechanics;chemistry;general_equipment;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32073;Royal Danish Army;T209;3;1930;2999;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32074;Royal Danish Navy;T_DEN_Navy;4;1930;2999;small_taskforce_tactics;seamanship;naval_training;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32075;Sandvikens Jernverk AB;T_SWE_Sandvik;4;1930;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32076;Sandvik AB;T_SWE_Sandvik2;7;1971;2999;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32077;Schultz & Larsen;T_DEN_Schultz_Larsen;4;1930;2999;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32078;Sjöstridsskolan;T_SWE_Sjost_Skolan;4;1946;2999;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32079;Sony-Ericsson;T_SWE_Sony_Ericsson;6;2002;2999;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32080;Strømmens Værksted;T_NOR_StrommensVaerksted;3;1930;1978;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32081;Tandbergs Radiofabrikk;T_NOR_Vebjorn_Tandberg;5;1933;2999;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32082;Terma;T_DEN_Terma;6;1949;2999;electronics;aeronautics;management;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32083;Totalförsvarets forskningsinstitut;T_SWE_FOI;5;2001;2999;electronics;training;aeronautics;management;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32084;Triangel;T_DEN_Triangel;5;1930;1958;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32085;Umoe Mandal AS;T_NOR_UMOE;3;1988;2999;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32086;Vattenfall;T_SWE_Vattenfall;6;1975;2999;electronics;chemistry;nuclear_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32087;Vognfabrikken Scandia;T_DEN_VognafabrikkenScandia;5;1930;2999;mechanics;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
