NOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2515;Institutt for Atomenergi;T_NOR_InstituttforAtomenergi;6;1946;2999;chemistry;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2516;Luftforsvaret;T_NOR_Luftforsvaret;4;1944;2999;aircraft_testing;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2517;Marinens Flyvevåben;T_NOR_MarinensFly;3;1930;1944;aircraft_testing;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2518;Marinens Flyvebaatfabrikk;T_NOR_MarinensFlyvebaatfabrikk;3;1930;1940;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2519;Norges Tekniske Høgskole;T_NOR_NorgesTekniskeHogskole;4;1930;1945;electronics;chemistry;industrial_engineering;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2520;Norsk Hydro;T_NOR_NorskHydro;6;1930;2999;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2521;Atle Selberg;T_NOR_Selberg;6;1943;1950;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2522;Thoralf Skolem;T_NOR_Skolem;5;1930;1963;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2523;Strømmens Værksted;T_NOR_StrommensVaerksted;4;1930;1978;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2524;Tandbergs Radiofabrikk;T_NOR_Vebjorn_Tandberg;6;1933;2999;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2525;Den Kongelige Norske Arme;T_NOR_Norske_Arme;5;1943;2999;training;small_unit_tactics;infantry_focus;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2526;Borregaard;T_NOR_Borregard2;5;1945;2999;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2527;Kongsberg Defence & Aerospace;T_NOR_Kongsberg2;7;1971;2999;electronics;rocketry;mechanics;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2528;Raufoss Ammunisjonsfabrikk;T2504;6;1960;1997;artillery;mechanics;chemistry;general_equipment;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2529;Nammo;T_NOR_Nammo;6;1998;2999;artillery;mechanics;chemistry;general_equipment;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2530;EB Strømmens Værksted;T_NOR_EBSV;4;1989;2999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2531;Norges Tekniske Høgskole;T_NOR_NorgesTekniskeHogskole;5;1946;2999;electronics;chemistry;industrial_engineering;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2532;Umoe Mandal AS;T_NOR_UMOE;4;1988;2999;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
