USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
111;Detroit Arsenal Tank Plant;T_USA_DetroitArsenal;7;1951;1950;mechanics;artillery;technical_efficiency;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
112;Douglas Aircraft Company;T103;7;1930;1966;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
113;Dwight Eisenhower;T123;7;1939;1952;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
114;Edward Teller;T111;8;1951;2003;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
115;Ernest King;T124;7;1930;1946;large_taskforce_tactics;carrier_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
116;Ford Motor Company;T104;7;1930;2999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
117;General Electric;T128;8;1930;2999;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
118;Grumman;T_USA_Grumman;7;1941;1993;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
119;Henry Arnold;T125;7;1930;1948;decentralized_execution;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120;Higgins Industries Inc.;T105;7;1941;1946;naval_engineering;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
121;Hyman Rickover;T126;7;1947;1982;nuclear_engineering;chemistry;electronics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
122;IBM;T132;7;1954;2999;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
123;John von Neumann;T106;8;1941;1957;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
124;Kelly Johnson's Skunk Works;T_USA_SkunkWorks;8;1943;1994;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125;Lyman Briggs;T_USA_LymanBriggs;5;1930;1941;nuclear_physics;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
126;Marmon-Herrington;T108;6;1930;2999;mechanics;general_equipment;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
127;Massachusetts Institute of Technology;T_USA_MIT;7;1930;2999;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
128;Maxwell Taylor;T130;6;1953;1965;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
129;Moore School of Electrical Engineering;T_USA_MooreSchoolofElectricalEngineering;7;1943;1955;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
130;NASA;T_USA_NASA;9;1958;2999;rocketry;aeronautics;electronics;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
131;New York Naval Yard;T110;7;1930;2999;naval_engineering;technical_efficiency;electronics;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
132;Newport News Shipbuilding;T109;7;1930;2999;naval_engineering;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
133;Norfolk Naval Yard;T112;8;1930;2999;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
134;North American Aviation;T_USA_NAA;8;1940;2999;aeronautics;technical_efficiency;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
135;Omar Bradley;T127;7;1938;1954;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
136;Philadelphia Naval Shipyard;T129;6;2999;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
137;Raytheon;T113;7;1930;2999;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
138;Remington Arms;T_USA_RemingtonArms;6;1940;2999;industrial_engineering;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
139;Robert Oppenheimer;T114;9;1942;1953;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
140;Robert Truax;T115;6;1930;1967;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
141;Springfield Armory;T116;7;1930;2999;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
142;Standard Oil of California;T117;8;1930;2999;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143;Texas Oil Company;T118;9;1930;2999;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
144;US Army Ordnance Corps;T_USA_USArmyOrdnanceCorps;5;1930;2999;mechanics;artillery;general_equipment;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145;Westinghouse;T_USA_Westinghouse;6;1941;2999;electronics;nuclear_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
146;Winchester Repeating Arms Co.;T119;6;1930;2999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
147;Electric Boat Company;Tsubs;7;1954;2999;naval_engineering;technical_efficiency;electronics;nuclear_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
148;American Motors;T_USA_AMC;6;2999;2999;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
149;Sun Oil Company;T_USA_Sunoco;6;2999;2999;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
150;General Dynamics;T_USA_General_Dynamics;7;1953;2999;mechanics;naval_engineering;aeronautics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
151;McDonnell Douglas;T_USA_McDonnell_Douglas;7;1967;1997;aeronautics;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
152;Lockheed Martin;T_USA_Lockheed_Martin;8;1995;2999;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
153;Northrup Grumman;T_USA_Northrup_Grumman;7;1994;2999;naval_engineering;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
154;L-3 Communications;T_USA_L3_Communications;7;1997;2999;mechanics;management;general_equipment;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
155;United Technologies;T_USA_United_Technologies;6;1975;2999;industrial_engineering;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
156;OSS;T_USA_OSS;3;1942;1945;centralized_execution;decentralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
157;CIA;T_USA_CIA;4;1947;2999;centralized_execution;decentralized_execution;chemistry;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
158;James M Gavin;T_USA_Gavin;6;1945;1958;combined_arms_focus;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
159;Hamilton Hawkins Howze;T_USA_Howze;7;1955;1998;combined_arms_focus;small_unit_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
160;Naval War College;T_USA_NWC;6;1947;2999;submarine_tactics;naval_training;centralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
161;AEC;T_USA_AEC;7;1951;2999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
162;US Military Academy;T_USA_West_Point;5;1966;2999;combined_arms_focus;small_unit_tactics;decentralized_execution;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
163;US Naval Academy;T_USA_USNA;5;1963;2999;small_taskforce_tactics;large_taskforce_tactics;naval_training;seamanship;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
164;US Air Force Academy;T_USA_USAFA;5;1954;2999;centralized_execution;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
