JAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1933;Kempetai;T98702;4;1930;1951;centralized_execution;decentralized_execution;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1934;Koancho;T1446;4;1952;2999;centralized_execution;decentralized_execution;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1935;National Aerospace Laboratory;T_JAP_NAL;5;1955;2999;rocketry;aeronautics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1936;ISAS;T_JAP_ISAS;6;1964;2999;rocketry;aeronautics;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1937;FEPC;T_JAP_FEPC;6;1973;2999;nuclear_engineering;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1938;Toyota;T_JAP_Toyota;9;1947;2999;electronics;management;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1939;Sony;T_JAP_Sony;8;1955;2999;electronics;management;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1940;Mitsubishi Aerospace;T_JAP_Mits_Aero;8;1964;2999;aeronautics;chemistry;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1941;Mitsubishi Heavy Industries;T_JAP_MHI;8;1964;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1942;Japan AEC;T_JAP_AEC;5;1956;2999;nuclear_physics;nuclear_engineering;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
