DEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
226;Danfoss;T_DEN_Danfoss;5;1945;2999;mechanics;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
227;Terma;T_DEN_Terma;7;1949;2999;electronics;aeronautics;management;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
228;Royal Danish Navy;T_DEN_Navy;5;1930;2999;small_taskforce_tactics;seamanship;naval_training;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
229;Aage Niels Bohr;T_DEN_ABohr;6;1962;2009;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230;Niels Bohr Institute;T_DEN_NBI;5;1965;2999;nuclear_physics;nuclear_engineering;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
\;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
