SWE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3211;Bengt Nordenskiöld;T3211;5;1930;1954;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3212;Helge Jung;T3212;5;1944;1951;combined_arms_focus;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3213;The Svedberg;T3213;6;1930;1971;management;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3214;Olof Thörnell;T3214;5;1930;1944;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3215;Charles de Champs;T3215;5;1930;1939;large_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3216;Gösta Ehrensvärd;T3216;5;1939;1960;small_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3217;Manne Siegbahn;T3217;6;1930;1978;electronics;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3218;Nils Swedlund;T_SWE_3218;5;1951;1961;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3219;Torsten Rapp;T_SWE_3219;5;1943;1970;aircraft_testing;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3220;AB Elektrolux;T_SWE_Electrolux;6;1930;2999;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3221;AGA AB;T_SWE_AGA;5;1930;2000;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3222;Kockums Mekaniska Verkstads;T_SWE_Kockums;6;1930;1999;industrial_engineering;mechanics;naval_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3223;Carl Gustafs Stads Gevärsfaktori;T_SWE_CarlGustafsStadsGevarsfaktori;4;1930;1999;general_equipment;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3224;Hägglund & Söner;T_SWE_Hagglund&Soner;4;1930;1972;aeronautics;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3225;Atlas Copco;T_SWE_AtlasCopo;5;1930;2999;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3226;Sandvikens Jernverk AB;T_SWE_Sandvik;5;1930;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3227;Eriksbergs Mekaniska Verkstads AB;T_SWE_Eriksbergs;4;1930;1979;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3228;Lise Meitner;T_SWE_Lise_Meitner;6;1939;1968;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3229;Kungliga Tekniska högskolan;T_SWE_KungligaTekniskaHogskolan;5;1930;2999;nuclear_physics;mechanics;chemistry;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3230;Flygtekniska försöksanstalten;T_SWE_FFA;5;1940;2000;aeronautics;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3231;Försvarets forskningsanstalt;T_SWE_FOA;5;1941;2000;chemistry;nuclear_physics;combined_arms_focus;management;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3232;Sven Gustaf Wingqvist;T_SWE_Sven_Gustaf_Wingqvist;5;1930;1953;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3234;Asea AB;T_SWE_ASEA;5;1930;1959;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3236;Asea AB;T_SWE_ASEA;7;1960;1988;mechanics;electronics;management;industrial_engineering;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3237;BAE Systems AB;T_SWE_BAE;7;1930;1970;artillery;mechanics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3238;Totalförsvarets forskningsinstitut;T_SWE_FOI;6;2001;2999;electronics;training;aeronautics;management;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3239;Sony-Ericsson;T_SWE_Sony_Ericsson;7;2002;2999;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3240;Sandvik AB;T_SWE_Sandvik2;8;1971;2999;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3241;Cyb Aero;T_SWE_Cybaero;6;2003;2999;electronics;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3243;ABB;T_SWE_ABB;8;1989;2999;mechanics;electronics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3244;Militärhögskolan Halmstad;T_SWE_Militar_Hogskolan;5;1946;2999;small_unit_tactics;combined_arms_focus;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3245;Sjöstridsskolan;T_SWE_Sjost_Skolan;5;1946;2999;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3246;Luftstridsskolan;T_SWE_Luft_Skolan;5;1946;2999;aircraft_testing;fighter_tactics;piloting;centralized_execution;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3247;Vattenfall;T_SWE_Vattenfall;7;1975;2999;electronics;chemistry;nuclear_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
