Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;BMP_Name;Start Year;End Year;x
拜莱兹瑙伊 ;31319;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;Beleznay_Gyozo_hun;1940;1947;x
本达 ;31417;HUN;1944;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1944;1960;x
本克;31296;HUN;1937;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1937;1960;x
拜赖茨;31360;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1942;1954;x
博耶夫;31109;HUN;1939;1941;1944;1990;1;7;1;3;0;5;0;Beregffy_Karoly_hun;1939;1960;x
柏科维基;31251;HUN;1938;1942;1990;1990;3;6;0;1;0;5;0;MajorGeneralHungary;1938;1960;x
比利尼泽 ;31111;HUN;1944;1945;1990;1990;2;5;1;1;0;4;0;Billinitzer_Erno_hun;1944;1960;x
宾德;31102;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;Binder_Otto_hun;1942;1951;x
比斯扎 ;31263;HUN;1941;1944;1990;1990;2;6;128;2;0;5;0;Bisza_Ferenc_hun;1941;1960;x
比托 ;31302;HUN;1939;1990;1990;1990;3;4;0;0;0;5;0;Bitto_Dezso_hun;1939;1956;x
伯克尔;31445;HUN;1935;1937;1990;1990;2;4;0;0;0;5;0;MajorGeneralHungary;1930;1941;x
博甘扬;31244;HUN;1940;1942;1990;1990;2;6;1;1;0;5;0;MajorGeneralHungary;1940;1960;x
博科洛什;31390;HUN;1943;1990;1990;1990;3;5;0;0;0;5;0;MajorGeneralHungary;1943;1960;x
博尔 ;31112;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;Bor_Jeno_hun;1942;1960;x
布伦瑞克 ;31113;HUN;1941;1943;1990;1990;3;5;4;1;0;5;0;Brunswik_Gyorgy_hun;1941;1960;x
布达哈齐 ;31391;HUN;1943;1990;1990;1990;3;4;0;1;0;5;0;Budahazy_Mihaly_hun;1943;1960;x
布尔杰;31418;HUN;1944;1990;1990;1990;3;5;64;0;0;5;0;MajorGeneralHungary;1944;1960;x
萨塔利;31253;HUN;1940;1942;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1940;1960;x
萨塔伊;31114;HUN;1938;1941;1943;1990;1;7;64;3;0;5;0;Csatay_Lajos_hun;1938;1960;x
切凯 ;31392;HUN;1943;1990;1990;1990;3;5;0;1;0;5;0;Cseke_Mihaly_hun;1943;1960;x
琴凯伊;31457;HUN;1938;1942;1990;1990;2;5;0;0;0;5;2;MajorGeneralHungary;1938;1972;x
奇比;31362;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1942;1956;x
齐格勒;31235;HUN;1938;1940;1990;1990;2;6;32;1;0;5;0;MajorGeneralHungary;1938;1960;x
齐勒纳;31115;HUN;1944;1990;1990;1990;3;5;1;0;0;4;0;Czlenner_Imre_hun;1944;1955;x
达马西 ;31240;HUN;1938;1941;1990;1990;3;4;2;0;0;5;0;Damasy_Farkas_hun;1938;1960;x
戴阿克 ;31117;HUN;1944;1990;1990;1990;3;6;128;1;0;2;0;Deak_Ferenc_hun;1944;1960;x
德布勒第;31192;HUN;1942;1947;1990;1990;3;6;4096;1;0;4;2;Debrodi_Gyorgy_hun;1942;1960;x
德克莱瓦 ;31118;HUN;1938;1940;1942;1990;2;6;1;2;0;5;0;Decleva_Zoltan_hun;1938;1950;x
登克 ;31119;HUN;1930;1930;1938;1990;2;6;516;1;0;5;0;Denk_Gusztav_hun;1930;1960;x
德坡;31450;HUN;1942;1990;1990;1990;3;4;514;0;0;5;0;MajorGeneralHungary;1942;1960;x
德修 G;31420;HUN;1944;1990;1990;1990;3;6;32;1;0;5;0;MajorGeneralHungary;1944;1960;x
德修 L;31364;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;Deseo_Laszlo_hun;1942;1960;x
德修-洛迪;31297;HUN;1938;1990;1990;1990;3;6;32;1;0;5;0;Deseo-Rodl_Rezso_hun;1938;1960;x
多马尼茨基 ;31120;HUN;1938;1941;1990;1990;2;6;516;2;0;3;0;Domaniczky_odon_hun;1938;1945;x
多莫托;31121;HUN;1939;1942;1990;1990;2;6;2;2;0;4;0;Domotor_Janos_hun;1939;1960;x
埃利希;31451;HUN;1943;1990;1990;1990;3;5;514;1;0;5;0;Ehrlich_Geza_hun;1943;1960;x
厄缶;31252;HUN;1939;1942;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1939;1960;x
艾派尔耶希;31475;HUN;1942;1990;1990;1990;3;5;0;0;0;5;2;MajorGeneralHungary;1942;1960;x
法布里 ;31123;HUN;1938;1940;1990;1990;2;6;1;1;0;4;0;Fabry_Daniel_hun;1938;1960;x
法莱卡;31448;HUN;1939;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1939;1960;x
法尔塔 ;31216;HUN;1935;1937;1990;1990;2;4;512;0;0;5;0;Falta_Laszlo_hun;1930;1939;x
法拉戈 ;31124;HUN;1940;1943;1990;1990;2;5;2;1;0;5;0;Faragho_Gabor_hun;1940;1953;x
法莱喀斯 F;31346;HUN;1941;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1941;1960;x
法莱喀斯 FK;31125;HUN;1940;1943;1945;1990;2;7;0;4;0;5;0;Farkas_Ferenc_K_hun;1940;1960;x
法莱喀斯 M;31110;HUN;1946;1947;1948;1990;1;3;0;0;0;5;0;Farkas_Mihaly_hun;1946;1965;x
费耶;31320;HUN;1940;1990;1990;1990;3;5;4;1;0;5;0;MajorGeneralHungary;1940;1955;x
费赫尔;31452;HUN;1943;1990;1990;1990;3;7;260;0;0;5;0;Feher_Geza_hun;1943;1960;x
费克特哈米-采伊德纳 ;31126;HUN;1939;1941;1944;1990;2;6;32;2;0;3;0;Feketehalmy-Czeydner_Ferenc_hun;1939;1960;x
费尔克尔;31283;HUN;1940;1944;1990;1990;3;6;256;0;0;5;0;Felkl_Jeno_hun;1940;1960;x
芬陶 ;31286;HUN;1942;1990;1990;1990;2;5;0;0;0;5;0;Finta_Jozsef_hun;1942;1960;x
弗耶拉西;31264;HUN;1945;1990;1990;1990;3;6;0;1;0;5;0;MajorGeneralHungary;1945;1960;x
弗纳吉;31400;HUN;1944;1990;1990;1990;3;6;128;1;0;5;0;MajorGeneralHungary;1944;1960;x
弗拉特 ;31458;HUN;1941;1944;1990;1990;2;5;0;0;0;5;2;Frater_Tibor_hun;1941;1964;x
弗里德里克 ;31128;HUN;1938;1990;1990;1990;3;4;0;0;0;5;0;Friedlrich_Alfred_hun;1938;1939;x
弗里克;31232;HUN;1937;1939;1990;1990;2;6;1;0;0;5;0;Fuleky_Dezso_hun;1937;1960;x
富托 ;31284;HUN;1942;1944;1990;1990;3;6;0;1;0;5;0;Futo_Jozsef_N_hun;1942;1960;x
加洛奇 ;31129;HUN;1944;1990;1990;1990;3;5;32;2;0;3;0;Galocsy_Arpad_hun;1944;1958;x
杰萨耶;31423;HUN;1944;1990;1990;1990;3;6;1;0;0;5;0;MajorGeneralHungary;1944;1960;x
杰尔杰伊 ;31393;HUN;1943;1990;1990;1990;3;5;64;0;0;5;0;Gergely_Zoltan_hun;1943;1960;x
盖尔洛齐 G ;31394;HUN;1943;1990;1990;1990;3;5;0;0;0;5;0;Gerloczy_Gabor_hun;1943;1960;x
盖尔洛齐 L ;31365;HUN;1942;1990;1990;1990;3;6;0;1;0;5;0;Gerloczy_Laszlo_hun;1942;1960;x
盖斯泰希;31395;HUN;1943;1990;1990;1990;3;5;0;0;0;5;0;MajorGeneralHungary;1943;1960;x
金兹凯;31366;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1942;1960;x
格尔盖尼 ;31160;HUN;1948;1990;1990;1990;3;3;33;0;0;2;0;MajorGeneralHungary;1948;1978;x
戈龙迪-诺瓦克 ;31131;HUN;1930;1938;1941;1990;1;7;516;3;0;4;0;Gorondy-Novak_Elemer_hun;1930;1954;x
格塔伊;31321;HUN;1940;1990;1990;1990;3;5;0;0;0;5;0;MajorGeneralHungary;1940;1960;x
格拉西 ;31132;HUN;1942;1990;1990;1990;3;7;128;2;0;5;0;Grassy_Jozsef_hun;1942;1960;x
格拉西 ;31468;HUN;1937;1941;1990;1990;2;4;0;0;0;5;2;Grassy_Jozsef_hun;1937;1960;x
吉迈希 E ;31239;HUN;1938;1941;1990;1990;2;6;256;1;0;5;0;Gyimesi_Erno_hun;1938;1960;x
吉迈希 F ;31245;HUN;1940;1942;1990;1990;2;6;0;1;0;5;0;Gyimesi_Frigyes_hun;1940;1960;x
哲尔菲-本杰尔  ;31222;HUN;1934;1937;1940;1990;2;5;513;0;0;5;0;Gyorffy-Bengyel_Sandor_hun;1930;1942;x
哈格尔 ;31303;HUN;1939;1990;1990;1990;3;5;0;0;0;5;0;Hager_Otto_hun;1939;1960;x
汉克;31367;HUN;1942;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1942;1960;x
洪科夫斯基 ;31396;HUN;1943;1990;1990;1990;3;6;0;1;0;5;0;Hankovzsky_Gyula_hun;1943;1960;x
哈迪 ;31188;HUN;1930;1930;1945;1990;1;5;0;0;0;5;1;Hardy_Kalman_hun;1930;1960;x
豪尔吉陶伊 ;31424;HUN;1944;1990;1990;1990;3;4;16;0;0;5;0;MajorGeneralHungary;1944;1955;x
豪尔莫什 ;31266;HUN;1942;1944;1990;1990;2;5;32;0;0;5;0;Harmos_Zoltan_hun;1942;1958;x
哈洛西;31425;HUN;1944;1990;1990;1990;3;5;64;0;0;5;0;MajorGeneralHungary;1944;1960;x
哈特曼 ;31209;HUN;1930;1990;1990;1990;3;4;512;0;0;5;1;MajorGeneralHungary;1930;1960;x
哈里 ;31459;HUN;1938;1943;1990;1990;2;5;0;0;0;5;2;Hary_Laszlo_hun;1938;1953;x
豪伊瑙尔 ;31426;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;Haynal_Alajos_hun;1944;1960;x
海姆 ;31322;HUN;1940;1990;1990;1990;3;5;0;1;0;5;0;Heim_Geza_hun;1940;1942;x
黑勒布龙特 ;31193;HUN;1938;1942;1990;1990;2;4;0;0;0;5;2;Hellebronth_Vilmos_hun;1938;1971;x
亨科伊;31309;HUN;1945;1990;1990;1990;3;6;0;0;0;5;0;MajorGeneralHungary;1945;1960;x
亨涅伊 ;31135;HUN;1930;1941;1944;1990;2;7;2;3;0;5;0;Hennyey_Gusztav_hun;1930;1960;x
黑佩斯 ;31474;HUN;1943;1990;1990;1990;3;5;4096;1;0;5;2;Heppes_Aladar_hun;1943;1960;x
黑兹勒尼 ;31136;HUN;1939;1942;1944;1990;2;6;1;3;0;5;0;Heszlenyi_Jozsef_hun;1939;1960;x
欣迪 ;31262;HUN;1942;1944;1945;1990;1;5;2;0;0;5;0;Hindy_Ivan_hun;1942;1960;x
奥多西 ;31427;HUN;1944;1990;1990;1990;3;4;2;1;0;5;0;Hodosy_Pal_hun;1944;1960;x
霍洛希-库蒂 ;31137;HUN;1942;1944;1990;1990;2;6;32;2;0;5;0;Hollosy-Kuthy_Laszlo_G_hun;1942;1960;x
霍姆洛克;31267;HUN;1942;1944;1990;1990;3;4;0;0;0;5;0;Homlok_Sandor_hun;1942;1960;x
霍尔尼;31428;HUN;1944;1990;1990;1990;3;5;32;0;0;5;0;MajorGeneralHungary;1944;1960;x
霍尔蒂 ;31189;HUN;1930;1930;1930;1990;1;5;512;2;0;5;1;Horthy_Miklos_hun;1930;1960;x
霍瓦特 F ;31139;HUN;1943;1944;1990;1990;1;6;256;2;0;5;0;Horvath_Ferenc_hun;1943;1960;x
霍瓦特 F II;31323;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1940;1945;x
霍瓦特 Gy;31454;HUN;1944;1990;1990;1990;3;6;0;1;0;5;0;MajorGeneralHungary;1944;1960;x
霍瓦特 Gy II;31469;HUN;1943;1990;1990;1990;3;5;0;0;0;5;2;MajorGeneralHungary;1943;1960;x
霍瓦特 J ;31298;HUN;1938;1990;1990;1990;3;5;2;0;0;5;0;Horvath_Jozsef_hun;1938;1960;x
霍瓦特 L ;31236;HUN;1938;1940;1990;1990;2;6;0;1;0;5;0;Horvath_Laszlo_hun;1938;1960;x
霍瓦特 S ;31140;HUN;1940;1990;1990;1990;3;6;128;1;0;5;0;Horvath_Sandor_hun;1942;1960;x
霍尔沃伊 ;31299;HUN;1938;1990;1990;1990;3;5;0;0;0;5;0;Horvay_Artur_hun;1938;1960;x
洪福尔维 ;31324;HUN;1940;1990;1990;1990;3;5;0;0;0;5;0;Hunfalvay_Elemer_hun;1940;1960;x
胡萨尔;31347;HUN;1941;1990;1990;1990;3;4;2;0;0;5;0;MajorGeneralHungary;1941;1960;x
伊布拉尼 ;31141;HUN;1942;1944;1990;1990;2;6;4;2;0;5;0;Ibranyi_Mihaly_hun;1942;1960;x
伊雷斯哈慈;31348;HUN;1941;1990;1990;1990;3;3;0;0;0;5;0;MajorGeneralHungary;1941;1956;x
伊利;31460;HUN;1941;1944;1990;1990;2;5;0;0;0;5;2;MajorGeneralHungary;1941;1960;x
伊什托卡 ;31397;HUN;1943;1990;1990;1990;3;6;0;0;0;5;0;Istoka_Dezso_hun;1943;1960;x
亚尼 ;31142;HUN;1930;1937;1941;1990;3;7;2;3;0;5;0;Jany_Gusztav_hun;1930;1960;x
扬扎;31133;HUN;1949;1952;1990;1990;3;2;0;1;0;3;0;Janza_Karoly_hun;1949;1990;x
约尔什沃伊;31295;HUN;1946;1990;1990;1990;3;6;0;0;0;5;0;MajorGeneralHungary;1946;1955;x
约尔丹 ;31398;HUN;1943;1990;1990;1990;3;6;4;1;0;5;0;Jordan_Janos_T_hun;1943;1960;x
贾斯蒂 ;31194;HUN;1930;1930;1942;1990;1;4;0;2;0;5;2;Juszty_Emil_hun;1930;1959;x
卡尔曼 ;31268;HUN;1942;1944;1990;1990;2;4;0;0;0;5;0;Kalman_Imre_hun;1942;1960;x
考诺陶伊 ;31399;HUN;1943;1990;1990;1990;3;4;0;0;0;5;0;Kanotay_Mihaly_hun;1943;1960;x
考拉乔尼;31429;HUN;1944;1990;1990;1990;3;6;0;0;0;5;0;MajorGeneralHungary;1944;1960;x
考绍伊-法尔卡斯 ;31260;HUN;1941;1943;1990;1990;3;5;32;1;0;5;0;Kassay-Farkas_Laszlo_hun;1941;1950;x
凯克斯;31470;HUN;1942;1990;1990;1990;3;3;0;0;0;5;2;Keksz_Edgar_hun;1942;1960;x
凯奈谢 ;31461;HUN;1930;1930;1930;1990;1;4;512;0;0;5;2;Kenese_Valdemar_hun;1930;1942;x
凯雷斯泰什-费舍尔;31215;HUN;1934;1937;1940;1990;1;5;512;1;0;5;0;Keresztes-Fischer_Lajos_hun;1930;1960;x
凯利;31301;HUN;1945;1947;1949;1990;1;6;1;0;0;5;0;Keri_Kalman_hun;1945;1960;x
凯休;31368;HUN;1942;1990;1990;1990;3;6;1;0;0;5;0;Kesseo_Laszlo_hun;1942;1960;x
基尔 ;31143;HUN;1945;1947;1990;1990;2;4;0;1;0;5;0;Kir_hun;1945;1960;x
基拉利;31449;HUN;1941;1990;1990;1990;3;5;4;0;0;5;0;MajorGeneralHungary;1941;1960;x
基拉伊 B ;31212;HUN;1949;1956;1990;1990;2;6;0;0;0;5;0;Kiraly_Bela_hun;1949;1960;x
基什福卢迪 ;31430;HUN;1944;1990;1990;1990;3;5;1;0;0;5;0;Kisfaludy_Jozsef_hun;1944;1960;x
基什凯里 ;31325;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;Kiskery_Lorand_hun;1940;1960;x
基斯 I ;31269;HUN;1942;1944;1990;1990;2;6;2;0;0;5;0;Kiss_Istvan_hun;1942;1960;x
基斯 J ;31220;HUN;1936;1938;1945;1990;2;5;0;0;0;5;0;Kiss_Janos_hun;1930;1960;x
基斯 K;31221;HUN;1936;1938;1990;1990;2;5;0;1;0;5;0;MajorGeneralHungary;1930;1950;x
基斯 L ;31233;HUN;1937;1939;1990;1990;2;6;1;2;0;5;0;Kiss_Laszlo_hun;1937;1960;x
考利;31326;HUN;1940;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1940;1960;x
科洛什瓦里 ;31144;HUN;1941;1990;1990;1990;3;5;1;1;0;5;0;Kolossvary_Imre_hun;1941;1942;x
科尔泰 ;31145;HUN;1940;1942;1990;1990;2;6;64;2;0;5;0;Kolthay_Ferenc_hun;1940;1960;x
科博什;31327;HUN;1940;1990;1990;1990;3;5;2;1;0;5;0;MajorGeneralHungary;1940;1960;x
科斯 ;31246;HUN;1940;1942;1990;1990;2;5;0;1;0;5;0;Koos_Miklos_hun;1940;1960;x
科索鲁斯;31237;HUN;1942;1990;1990;1990;3;6;128;1;0;5;0;MajorGeneralHungary;1938;1950;x
科瓦奇 于 ;31270;HUN;1942;1944;1990;1990;2;5;0;1;0;5;0;Kovacs_Gyula_hun;1942;1960;x
科瓦奇 K;31349;HUN;1941;1990;1990;1990;3;4;0;0;0;5;0;Kovacs_Karoly_hun;1941;1960;x
科瓦奇 T;31350;HUN;1941;1990;1990;1990;3;6;0;1;0;5;0;MajorGeneralHungary;1941;1960;x
科瓦奇;31328;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1940;1960;x
科兹马 I ;31271;HUN;1942;1944;1990;1990;2;6;2;3;0;5;0;Kozma_Istvan_F_hun;1942;1960;x
科兹马 Z;31401;HUN;1943;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1943;1960;x
库德里奇 ;31285;HUN;1943;1944;1990;1990;2;6;0;2;0;5;0;Kudriczy_Istvan_hun;1943;1960;x
昆什法卢西;31272;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;MajorGeneralHungary;1942;1960;x
库蒂 ;31304;HUN;1945;1945;1947;1990;3;4;0;0;0;5;0;Kuthy_Laszlo_hun;1945;1958;x
洛伊陶伊 ;31431;HUN;1944;1990;1990;1990;3;5;4;0;0;5;0;Lajtay_Janos_hun;1944;1960;x
拉卡托斯 ;31147;HUN;1938;1940;1943;1990;2;7;0;3;0;4;0;Lakatos_Geza_hun;1938;1960;x
兰吉 ;31256;HUN;1940;1943;1990;1990;3;4;0;0;0;5;0;Langhy_Emil_hun;1940;1960;x
拉斯洛 ;31148;HUN;1941;1943;1944;1990;2;6;0;2;0;4;0;Laszlo_Dezso_hun;1938;1960;x
拉扎尔 ;31149;HUN;1942;1944;1990;1990;3;4;2;1;0;4;0;Lazar_Karoly_hun;1930;1960;x
莱盖扎 ;31329;HUN;1940;1990;1990;1990;3;6;0;1;0;5;0;Legeza_Janos_hun;1940;1960;x
捷尔吉;31369;HUN;1942;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1942;1960;x
伦博考夫兹;31330;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1940;1960;x
伦杰尔;31273;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;MajorGeneralHungary;1942;1960;x
利陶伊 ;31195;HUN;1934;1936;1940;1990;1;6;512;2;0;5;0;Littay_Andras_hun;1930;1941;x
卢什考伊;31402;HUN;1943;1990;1990;1990;3;5;256;0;0;5;0;MajorGeneralHungary;1943;1960;x
卢考契奇 ;31150;HUN;1930;1930;1990;1990;2;4;514;1;0;4;0;Lukachich_Geza_hun;1930;1943;x
马达拉斯 ;31331;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;Madaras_Bela_hun;1940;1950;x
马扎沙西;31447;HUN;1936;1990;1990;1990;3;4;512;0;0;5;0;MajorGeneralHungary;1930;1939;x
马扎尔;31403;HUN;1943;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1943;1960;x
毛焦罗希 ;31151;HUN;1940;1942;1944;1990;2;6;4;2;0;5;0;Magyarosy_Sandor_hun;1940;1960;x
毛焦罗希 ;31471;HUN;1930;1940;1942;1990;1;4;0;0;0;5;2;Magyarosy_Sandor_hun;1930;1972;x
马约尔 J ;31255;HUN;1940;1943;1944;1990;1;6;128;2;0;5;0;Major_Jeno_hun;1940;1960;x
马约尔 M;31228;HUN;1936;1939;1990;1990;2;5;0;1;0;5;0;MajorGeneralHungary;1930;1960;x
毛考伊 ;31274;HUN;1942;1944;1990;1990;2;5;4;1;0;5;0;Makay_Istvan_hun;1942;1960;x
毛考伊-霍洛希 ;31341;HUN;1946;1990;1990;1990;3;6;0;0;0;5;0;Makay-Hollosy_Ferenc_hun;1946;1960;x
毛考伊;31432;HUN;1944;1990;1990;1990;3;6;256;0;0;5;0;MajorGeneralHungary;1944;1960;x
毛里奥伊;31332;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1940;1960;x
毛尔科齐 ;31275;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;Markoczy_Janos_hun;1942;1956;x
马沙尔科 ;31257;HUN;1940;1943;1990;1990;3;4;0;0;0;5;0;Marschalko_Bela_hun;1940;1960;x
马泰 ;31247;HUN;1940;1942;1990;1990;2;6;0;2;0;5;0;Mathe_Kalman_hun;1940;1960;x
毛特拉里;31404;HUN;1943;1990;1990;1990;3;5;1;0;0;5;0;MajorGeneralHungary;1943;1960;x
毛托尔奇;31462;HUN;1938;1942;1944;1990;1;5;4096;1;0;5;2;MajorGeneralHungary;1938;1960;x
迈德韦伊 ;31214;HUN;1934;1936;1990;1990;2;5;512;1;0;5;0;Medvey_Aurel_hun;1930;1960;x
梅赖伊 ;31219;HUN;1935;1938;1990;1990;2;5;0;1;0;5;0;Merey_Laszlo_hun;1930;1960;x
梅斯佐利;31405;HUN;1943;1990;1990;1990;3;6;0;2;0;5;0;Meszoly_Elemer_hun;1943;1960;x
梅佐;31154;HUN;1941;1990;1990;1990;3;5;0;1;0;5;0;Mezo_Endre_hun;1941;1960;x
米奇瑙伊;31305;HUN;1939;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1939;1950;x
米克洛什 ;31155;HUN;1938;1940;1943;1990;2;6;0;3;0;4;0;Miklos_Bela_hun;1938;1960;x
米克弗留;31433;HUN;1944;1990;1990;1990;3;5;128;0;0;5;0;MajorGeneralHungary;1944;1960;x
明森蒂 ;31370;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;Mindszenty_Janos_hun;1942;1956;x
米基;31434;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1944;1960;x
莫尔纳 L;31435;HUN;1944;1990;1990;1990;3;5;0;0;0;5;0;MajorGeneralHungary;1944;1960;x
莫尔纳 LA ;31436;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;Molnar_Laszlo_adorjanhazi_hun;1944;1960;x
莫里茨 ;31333;HUN;1947;1990;1990;1990;3;5;0;0;0;5;0;Moricz_Bela_hun;1947;1960;x
穆拉希迪 ;31371;HUN;1942;1990;1990;1990;3;5;32;1;0;5;0;Murahidy_Gusztav_hun;1942;1960;x
纳道什 ;31421;HUN;1946;1990;1990;1990;3;5;0;0;0;5;0;Nadas_Lajos_hun;1946;1960;x
纳道伊 ;31156;HUN;1937;1940;1942;1990;1;7;0;3;0;3;0;Naday_Istvan_hun;1937;1960;x
纳吉 G;31372;HUN;1942;1990;1990;1990;3;5;32;1;0;5;0;MajorGeneralHungary;1942;1960;x
纳吉 热 ;31300;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;Nagy_Geza_hun;1942;1960;x
纳吉 于 ;31234;HUN;1937;1940;1990;1990;2;6;0;2;0;5;0;Nagy_Gyula_hun;1937;1945;x
纳吉 V ;31157;HUN;1930;1937;1940;1990;2;6;1;2;0;5;0;Nagy_Vilmos_hun;1930;1960;x
纳吉苏伊;31281;HUN;1943;1944;1990;1990;2;6;0;1;0;5;0;Nagyoszy_Miklos_hun;1943;1960;x
纳耶索莫西;31306;HUN;1939;1990;1990;1990;3;4;512;0;0;5;0;MajorGeneralHungary;1939;1950;x
那拉;31373;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;Naray_Antal_hun;1942;1960;x
奈迈赖伊 ;31241;HUN;1938;1941;1990;1990;3;6;2;1;0;5;0;Nemerey_Marton_hun;1938;1958;x
内梅特 B ;31437;HUN;1944;1990;1990;1990;3;5;0;0;0;5;0;Nemeth_Bela_hun;1944;1960;x
内梅特 I ;31334;HUN;1940;1990;1990;1990;3;6;0;0;0;5;0;Nemeth_Imre_hun;1940;1960;x
